STT,T1,L1,H1,S1,V1,X1,D1,N1,T2,L2,H2,S2,V2,X2,D2,N2,T3,L3,H3,S3,V3,X3,D3,N3,T4,L4,H4,S4,V4,X4,D4,N4,T5,L5,H5,S5,V5,X5,D5,N5,T6,L6,H6,S6,V6,X6,D6,N6,GT,DT,KV,DH1,DH2,DH3,KT
1,7.2,7.3,6.3,7.3,7,7.9,7.3,5.5,8.4,8.9,5.8,9,6.6,8.7,7.2,5.8,7.4,7.4,5.2,6.6,6.9,8.9,8.1,5.8,7.2,7.1,5.9,7.2,6.6,5.8,8.1,5.9,7.4,5.6,6.1,5.7,7.9,5,7.4,5,6.9,5.7,6.5,7.2,8.4,6.6,7.6,5.9,F,,2NT,3.25,3.25,4.5,A1
2,5.4,3.9,3.9,4,5.4,5.4,5.3,2.8,6.3,5.4,3.2,7.2,5.4,6.1,4.7,4.7,4.3,3.8,3.7,3.7,5.2,6.6,5.8,4.4,4.9,2.8,5.1,4.5,5.6,7,7.6,4.7,3,4.6,4.4,4.9,4.3,6.3,6.7,4.4,4,5.4,4,5.2,5.5,6.6,6.1,4.4,M,,1,6,4,3.5,C
3,5.6,6.8,7.2,7.5,4.3,7.4,5.8,3.2,5,4.9,6.2,6.1,5.3,7.1,4,4.9,2.8,6.3,6.2,5.6,2.5,5.8,5.1,3.7,6.1,6.1,5.8,6.8,4,6.4,5.3,4.1,4.8,5.1,6.4,5.1,4,6.9,3.9,3.2,5.7,6.6,6.8,6.8,4.1,7.9,8.1,4.6,M,,1,5,6.75,4,C
4,6.6,6.4,5.3,6.9,5.4,7.3,6.4,5.8,5.1,6.2,5.5,5.5,4.4,6.5,4.9,4.4,5.9,7.3,5.9,4.9,5.7,6.8,6.8,5.4,4.1,4.4,4.1,7.3,5.3,7.1,7.3,5.6,6.1,4.9,5.3,4,6.2,5.5,5.9,6.5,7.4,5.6,6.6,6.8,6.6,7.1,7.3,7.4,M,,1,4.25,4.25,5.25,D1
5,6,5,6,7.3,6.5,7.7,7.9,6.1,5.4,5.5,5.9,7.5,6.5,6.9,7.6,6.4,7.6,7.6,6.7,6.6,5.7,7.9,7.4,7.3,4.4,6.5,5.6,8.3,6.2,4.9,8.6,7.7,6.8,5.4,4.7,5,5.1,7,7,6.3,8,6.2,6.8,6.9,6.6,6.1,7.5,7.2,M,,2NT,4.25,4.5,5,A
6,9.3,7.6,7.9,8.6,7,7.3,7.7,7.9,9.6,7.8,8,8.7,7.7,8,9.2,9.1,7.1,8.5,8.1,8.7,7.2,8.4,7.7,8.2,8.5,8.5,7.7,9.2,8,6.6,7.3,8.8,8.5,7.6,8.1,9,8.4,6.6,6.6,8.2,7.8,6.4,7.2,7.7,7.7,5.7,8,7.8,M,,1,1.5,4,6,D1
7,2.8,3.9,5.5,6.9,5,7.3,4.6,5.2,4.4,6.7,5.5,7.7,5,6.6,6.1,4.6,4.6,4.8,4.4,8.1,5.6,6,4.8,3.9,4.7,6.3,4.8,7.1,6.8,7.7,6.6,5.6,5.4,4.5,5,5,5.9,6.1,6.1,4.8,5.3,7,6,5.7,6.1,6.6,6,6,F,,2,6.5,6.75,5.25,C
8,8.3,6,7.6,5.1,7.5,4.7,5.8,7.2,6.7,6.3,6.4,7.1,7.3,6.9,6.1,7.9,8.6,5.7,6.9,6.6,7.4,6,5.8,6.5,8.3,5.3,6.2,6.4,7.6,5.4,6.7,6.3,8.5,7,6.1,6.4,6.6,4.8,7.4,6.9,8.3,6.7,5.6,5.9,7.3,7.1,6.8,7,F,,2,3.75,4.5,4.25,D1
9,6.5,6.3,7.6,6,5.5,7.1,6.3,5,7.3,6.8,7.3,6.5,6.4,7.9,7.6,3.7,6.4,6.7,6.7,7.3,6.2,6.1,8.2,5.7,8.1,6,6.3,7.8,7.2,7.6,8.5,5.7,7.7,7.5,8.8,6.5,5.6,5.6,7.1,6.7,7.7,8.7,8.9,7.5,6,9.1,7.9,6.1,F,,1,3.5,3.5,6.75,D1
10,7.3,5.9,4.7,7.1,6.7,7.9,6.7,7.7,8,6.8,7.6,6.9,6.8,7.8,6.4,7.4,6.5,7.3,6,7.8,7.2,7.9,7.1,7.7,5.5,7,6,6.7,8,7.2,6.3,7.2,7.5,7,8,5.9,7.1,6.3,5.1,7.1,6.9,7,6.7,7.1,7.7,6.4,6.1,7.8,F,,1,4,4.75,5.5,D1
11,5.2,6.4,7.4,7,7.1,8.1,7.6,6.8,6.3,6.5,8.4,7.5,6.3,9.1,8.6,7.5,7.8,7.9,7.4,8.4,5.7,9.6,8.4,7.8,7.6,5.7,6.4,8.2,6.7,7.3,8.3,7.5,6.2,6.1,5.9,7.2,6.7,7.1,7.4,6.6,7.3,7.2,7.2,8.8,7.6,6,7.2,7.2,F,,2,3,4,5.5,D1
12,7.9,7,9.1,8.6,6.1,7,5.6,9,8.2,7.1,8.8,7.6,6.9,7.3,7.2,9,8.1,8.4,8.5,7.6,5.5,8,6.6,8.6,6.9,7,8.9,8.6,5.6,5.3,7.1,8.3,8,7.8,8.6,7.3,6.2,3.9,5.7,8.6,8.1,7.9,8.3,7.9,6.4,6.4,6.7,8.7,M,,2,6.75,6.5,4.25,D1
13,7.3,6.3,8.7,7.7,6.6,8.5,6.9,8.5,5.8,5.7,6.3,7.3,7.3,7.1,7.9,7.7,8.5,7.1,7.8,6.5,7.1,8.4,8.5,9.1,7.6,6.7,6.7,7.8,7.5,7.1,7.8,8.9,9.3,7.2,8.6,7.1,7.5,6.9,7.5,9,8.3,7,7.1,7.2,7.9,6.8,5.6,8.5,F,,1,2,4.5,5,D1
14,4.9,5.4,5,5,5.8,7,4.2,5.8,4.5,4.5,4.6,5.6,5.9,7.1,6,6.5,4.5,6.1,4.2,6,6.7,5.9,7,5.3,4.6,5.4,4.3,7.3,7.8,5.9,7.5,6.2,6.5,5.8,6.1,6.4,6.9,6.8,6.2,5.8,6.9,5.9,5.7,5.8,6.4,7.3,5.6,5.7,F,,1,2.5,2.75,5.5,D1
15,7.1,8,9.1,7.5,6.1,7.7,7.9,7.6,8.3,7.3,8.1,7.7,6.8,8.4,7.4,6.6,8.6,7.9,8.5,7,5.2,8.6,8,7.3,8.3,7.8,8.2,8,6.6,8.9,8.6,7.6,8.6,6.8,8.4,7.8,6.9,8.1,7.3,7.8,8.5,8.2,8.6,9.3,6.9,8,7.6,7,F,,2NT,3.5,4.5,6.5,A
16,2.5,5.3,4.9,8.2,6.9,6,6.7,5,6.2,3.8,4.7,8.6,7.5,6.3,8,5.6,6.5,5.9,5.7,6.4,7.2,6.1,7.6,4.8,7.3,5.5,5.4,5.2,7,7.7,8.1,6.9,3.4,5.3,4.6,5,7.4,5.6,6.8,5,5.3,6,6,6.2,7.2,7.1,6.8,5,M,,1,3.75,3,6.5,D1
17,8.8,7,7.7,7.1,6.1,5.4,8.3,5.3,7.3,7.4,7.4,5.9,6.1,7.9,7.5,6,7.5,7,8.6,6.7,6,6.9,7.5,6.2,7.7,7.3,8.6,5.8,6.4,6.1,7.6,5.5,7.4,5.4,7.6,5.2,6.7,7.4,8.4,5.6,7.5,6.7,6,6.7,7.1,5.3,7.8,5.6,F,,1,3.5,4,3.5,A
18,5.4,6,4.9,5.5,4.2,7.3,5.3,4.9,4.8,6.4,6.3,6.9,5.3,9.2,7.3,5.3,5.5,7.1,7.5,7.8,4.7,9.4,8.6,6.3,5.5,6,7.2,7.9,5,9.1,8.8,6.5,7.5,6.2,7.8,7.2,5,7.9,6.4,5.3,7.3,7.3,7.1,6.4,5.9,9.4,6.4,5.5,M,,1,4.25,4.5,5,A
19,5.6,4.8,7.3,3.9,5.5,6,6.1,4.8,5.5,4.9,5,6.3,5.8,6.1,6.8,4.8,4.8,8.8,5.4,7,6.7,5.8,7.7,4.9,6.1,7.4,6.5,7.2,7.7,5,7.6,6,6.6,6.8,6.6,6.7,6.1,5.6,6.3,5,8.5,7.7,6.7,6.6,5.7,6.4,6.3,5.8,M,,1,3.25,4.75,3.5,A
20,8.2,7.3,7.8,7.6,5.6,7.2,6,6.5,6.4,7.3,5.7,5.7,5.3,7.3,6.1,6.7,6.1,7.8,9.2,6.1,4.7,6.6,7.1,5.8,5.8,6.5,7.3,5.5,5.2,3.4,6.4,6.1,7.1,6.3,7.5,7.1,4.9,4.3,7.8,5,8.9,8.2,6.5,5.3,5.8,5.7,6.6,5.5,F,,2,3.5,4,4,A
21,3.9,3.9,6,6.7,6.1,4.8,6.3,5.2,5.6,5.1,6.2,7,6.2,6.3,6.6,4.5,6.3,5.2,6.6,6.6,6,7.3,6.4,6.8,6.9,6.7,7,8,6.8,6.4,6.9,5.2,9.3,6.6,7.5,5.6,6.3,6,7.1,5.5,8.4,7.8,6.6,7.7,6.2,6.4,6.1,6.7,M,,1,2.75,5,4.25,A
22,5,5.1,6.3,4.5,6.8,5.8,5.1,4.1,5.8,4.5,5.3,5.3,5.7,4.2,5.6,4.2,6,5.2,4.5,6.7,6.9,7.4,5.3,4.9,6.6,4.4,5.9,4.9,6.5,7.5,7.3,5.2,6.8,6.5,6.4,5.6,7.1,6.6,4.8,5.5,5.5,5.7,6.8,6.1,7.8,5.2,6.8,6.1,F,,1,3.5,3,4.5,D1
23,5,4.5,5.3,6.8,4.8,5.5,5.5,5.5,5.5,5.5,5.7,8,5.4,6.3,6.3,4.7,2.3,7.2,4.5,5.3,6.9,8,5.8,6.1,4.1,7.3,4.9,8.5,7,8.3,7.6,5.3,3.4,6.2,5.7,7.3,6,4.4,6.1,6.7,4.1,7,5.8,7.2,6.2,5.3,6.4,6.1,F,,2,5,3.5,6,C
24,5.3,6.3,5.7,6.9,5.9,7.5,6.6,5.1,6.4,6.9,4.7,7.4,6.1,8.4,6.4,4.4,6.1,5.8,5.1,7.4,6.7,7.1,6.7,4.3,5,3.5,4.5,7.3,6.1,8.8,7.9,3.9,5.3,5.5,6.3,6.7,6.7,7.5,6.7,4.5,6.1,6.8,6.4,6.4,7.6,8.8,6.1,5.2,M,,2NT,6.75,5.25,5,C
25,2.4,4.1,3.6,5.5,5.9,5.6,4.9,4.2,3.3,5.7,4.9,5.3,5.7,4.5,5.6,4.8,3.9,4.6,4.6,6.9,5.7,8,5.1,4.7,3.3,5.3,5.6,6.9,7.2,7.3,6.1,3.6,4.4,5,4.4,5.6,6.8,4,5,5.2,3.8,6.3,4.5,6.6,7.1,4.1,5.7,5.1,F,,1,7,2.25,5.25,C
26,3.6,5.8,6.9,6.1,5.5,7.2,5.5,4.3,4.2,5.4,6.5,5.5,5.8,5,5.3,4.3,4.2,4.5,5.3,5,5.6,6.4,5.3,4.1,4.8,4.8,4.7,4.6,5.4,4.1,6.3,5.6,5.8,4.9,4.8,6.3,4.8,2.7,4.4,5,3.7,4.5,5.7,5.5,5.6,5.9,6.3,4.4,F,,1,4.75,2,5.5,C
27,4.9,4.8,5,5.4,5.2,5.3,6.5,4.4,5.9,5.4,5.2,5.5,5.9,4.9,6.4,3.7,4.9,4.5,5.5,6.8,6.2,7.4,7.5,4.2,6,5.8,5.1,9,7.2,5.1,5.3,5.7,6.1,7.7,8,6.4,6.7,5.4,8.3,4.8,6.8,7.5,8.1,7,8.1,7.6,6.8,5.5,F,,1,5.25,4.5,4.75,C
28,8.1,5.5,5.1,5.6,6.2,6.2,6.6,4.8,4.4,4.7,5.2,6.6,6.5,5.8,6.1,4.8,5,6.2,4.4,6.3,4.4,5.2,6.6,5.7,2.9,5.2,4.2,5.9,5,5.8,7.4,5.3,5.8,5.2,6,6.2,6.2,6.8,5.9,5,5.6,6.2,6.4,6.4,7.3,6.4,6.3,5.1,F,,2NT,5.25,5,3.5,C
29,6.3,6.4,6.6,6.7,6.6,8.1,7.8,4.5,8.1,4.9,5.7,4.9,4.5,8,6.9,4.7,5.7,5.9,4.3,6.4,5.5,7.2,6.6,4.6,7.3,4.3,4,7.1,5.4,8.7,6.5,4.7,8.3,6.7,5.3,6.5,5.5,7.6,6.4,4.8,8.4,6.6,6.1,7.2,5.9,8.2,6.8,5.4,M,,2NT,3.25,5.25,3.75,A
30,4.5,3.8,4.8,5.9,4.3,6.2,5.2,6.1,5.5,5.8,5.1,6.7,4.7,6.1,5.8,5.3,6.8,6.5,5.4,5.4,5,6,6.1,7,5.6,7.1,5.7,6.3,5.6,5.1,6.4,7,5.3,4.8,4.5,4,3.9,3.3,4.4,5.4,6.1,5.2,5,5.3,5,6.2,5.5,6.1,M,,1,2.75,3.75,5,D1
31,7.6,7.2,5.4,5.6,5.6,6.7,6.7,4,7.7,6.6,5.8,6.9,6.4,7.1,5.4,5.7,7.5,5.7,4.4,7.7,5.8,8,8.4,5.4,5.5,5.5,5.5,5.6,6.5,7,6.9,5.7,6.5,5.4,5.4,5.8,7.5,7.1,7.5,5.7,6.5,7.5,6.8,6.7,6.4,7.8,8.4,6.2,F,,1,5,3.5,5.5,D1
32,2.6,4.6,4.6,3.6,4.2,5.4,5.2,4.5,3.8,6.1,6.3,8.1,4.5,7.2,5.6,4.5,5.9,6.4,6.4,7.7,4.9,7.1,7.8,5.3,6.8,7.7,7.2,6.4,6.3,8.1,8,6.7,6.3,6.1,7.6,4.1,5.5,6.2,6.3,5.1,8,7.3,7.3,7.4,5.8,9,6.7,6.7,M,,1,4.5,4.75,5.5,A
33,6,6.8,7.1,7.3,6.6,7.1,6.9,7,6,6.9,5.8,7.7,6.2,6.9,7,7.6,6.8,7.7,7.1,8.2,5.6,8.4,7.4,6.9,5.4,6.6,6.2,8.4,6.6,7.7,6.3,7.3,6.7,6.1,7.1,6.8,6.6,6.6,6.9,6.5,6.7,7.6,6.7,6.6,6.7,6.6,7.1,7.5,F,,2,4.5,4.5,4.75,D1
34,6.4,4.6,6.4,5.9,5.7,7.2,6.9,2.9,4.5,4.4,6.2,5.3,5.1,6.4,4.6,4,8,7.7,7.3,6.3,5.3,5.9,5.7,5.8,8.5,6.6,5.9,4.6,4.4,6.6,5.1,5.5,7.7,5.4,6.2,6.4,4.5,5.3,5.9,3.1,6,6.8,7,5,4.9,4.9,6.4,4.4,M,,1,2.25,4,4.25,A
35,4.7,7.2,7.4,7.6,6.3,7.7,4.9,4.7,6.2,5.4,7,6.6,5.5,6.5,8.1,4.9,4.3,5.3,5.2,7.3,6.2,5.6,7.2,6.4,5.3,5.1,8.4,7.2,6.5,7.1,8.4,6.3,6.4,5.6,6.7,6.1,7,5.3,5.6,4.7,7,5.5,7,7,7.6,5.3,6.8,4.3,M,,2NT,2.5,4.5,4.5,A
36,6.5,4.4,6.5,5.7,6.4,6.9,4,4.6,5.3,5.1,5.1,5.9,6.3,6.5,4.7,5.3,6.1,4.7,4.7,7,6,5.9,7.3,5.7,5.7,4.3,4.1,6.7,5.9,5.4,6.7,5.8,7.1,5.9,6.7,5.2,5.9,5.5,4.7,5.6,6.9,5.7,7,6.6,6.4,5.8,6,5.5,M,,2,2.5,5,5,A
37,7.3,4.8,4.9,4.6,4,5.1,5.8,3.4,7.5,5.8,3.1,8.8,4.9,8.5,7.1,3.8,8,6.3,4.8,6.8,4.7,6.8,7.6,3.3,7.7,5.4,6.2,7.5,5.3,7.9,7.8,5.7,7.8,4.6,5,6,4.3,4.6,6.6,4.8,8.1,6,7.1,7.1,4.7,8.3,6.9,5,M,,1,4.25,3.5,2.75,A
38,3.4,4.2,3.7,4.4,6.1,4.6,4.7,4.4,4.4,5.9,4.8,5.4,5,6.7,5.7,5.3,5.8,4.8,4.4,5.6,5.2,5.8,5.1,5.7,3,3.8,3.9,5.9,5.1,5.3,5.8,6.5,3.2,6.1,6.6,5.1,5.7,4.4,5.3,6.3,3.7,6.7,6.8,6.6,5.8,5.9,4.7,5.8,M,,2,2.25,5.25,4.5,A
39,4.4,5.6,5.2,6.4,5.9,6.7,7.2,4.3,4.4,2.4,7.5,7.1,5.7,5.1,5.6,4.9,5.1,5,6.8,4.9,3.8,6.4,5.6,4.5,5.6,5.5,7.2,5.5,4.5,6,6.2,3.8,5.8,3.5,5.5,5.8,4.7,6.6,6.8,3.9,5.8,4,7,5.5,5.2,6.5,6.6,4.2,M,,1,2,3,5.25,A
40,4.3,5,4.8,1.9,3.1,6.1,7.5,3.8,5.3,6.6,6.8,5.8,4,7.4,6.2,4.3,7.3,6.4,6.3,7.3,4.5,6.4,6.3,5.2,7.7,5.5,6.3,6.1,4.3,6.4,6.6,5.3,7.4,5.1,6.8,7.6,5.6,6.6,6.6,5.5,7.1,6.2,7.3,7,6.9,7.6,6.2,5,M,,1,2.75,4,4,A1
41,5.3,6.3,8.4,7.3,5.8,8.5,7.6,7.8,7.5,7.8,7.5,8.3,5.3,8,8,8,7.8,7.8,7.3,7.4,6,7.9,7.6,6.7,8.5,6.7,6.8,8.1,6.1,8.2,8.3,6.5,6.8,7.5,6.9,6.4,6.1,4.7,7.3,6.6,7.5,8.6,7.9,7.1,6.3,5.3,8.5,6.6,F,,2,5,3.75,5.75,D1
42,8.3,8,9,8.3,7.9,8.3,8.1,6.7,8.2,8.4,8.3,8.6,8,8.7,8.7,7.7,7.8,7.6,8.1,8.5,7,9.7,8.8,8.3,7.7,7.9,8.9,8.8,7.9,8.4,8.6,7.4,8.8,8.3,8.8,8.4,7.5,6.6,8,7.1,8.5,8.6,8.5,9.1,7.8,8.1,7.9,7.4,F,,2,4,4.5,5.75,A
43,7,7.4,7.5,8.3,8.7,8,8.8,7,7.2,6.7,7.6,9.3,8.6,8,9.4,6.9,7,6,5.3,7.4,8,9,8.3,7,6.5,5.3,6.3,8.4,7.5,8.1,7.6,6.3,4,7.3,7.2,7.2,6.9,5.9,8,7.1,5.5,6.9,7.5,8.3,8,8.7,7.2,6.6,F,,1,5.75,3.5,4.25,D1
44,6.6,7.2,5.9,6.9,7.6,8.1,7.3,6.7,6.3,6.9,6,6.4,7,7.1,6.9,6.2,6.7,7.1,5.4,6.8,6.8,5.9,6.6,6.8,6,7.6,6.5,7.6,6.7,7.1,7.9,5.6,5.8,5.9,5.8,4.6,6.6,4,6,6.2,6,7.6,6.5,7.6,6.7,7.1,7.9,5.6,F,1,2,1.25,3.5,5,D1
45,6.1,6.9,5.9,6.6,6,7,6.8,6.7,8.8,7.1,6.4,6.7,6.8,7.1,7.1,7.1,8.4,7.3,5.6,7.5,5.8,6.8,6.3,7.3,6.6,7.1,6.3,6.8,6.6,6.9,6.7,6.9,7.8,7.3,6.8,7.8,6.8,6.1,4.3,5.8,7.8,6.8,8,7.4,7.1,6.6,6.8,7.3,F,,2NT,3.75,4,4,A
46,6.9,5.3,7.1,5.7,7,8.4,6.2,6.4,5.4,4.8,6.6,6.4,7.3,7.4,6.6,5.7,5.3,6.6,6.2,5.9,6,8.9,6.5,5.8,5.3,6.2,5.8,7.5,6.3,6.2,8.4,5.3,7.2,6.3,6.8,6,6,4.1,7.4,5.9,7.1,7.1,6.6,5.7,6.8,5.8,7.1,5.7,F,,2,2,4.5,5,A
47,6.7,6.8,6.4,5.9,5.6,6.4,8,6.8,6.6,6.9,7.1,4.6,6,6.7,7.8,6.8,7.6,7,6.7,7,5.9,6.2,8.1,7.5,7.4,6.5,6.6,6.1,6,5.4,6.8,6.8,6.1,5.5,6.3,6.5,5.8,5.2,7.9,5.3,6.5,6.9,5.9,7,6,5.1,6.6,5.1,F,,1,5.25,2.25,5.25,D1
48,7.9,7.6,8.4,8.6,6.2,7.5,8.7,7.7,7.3,7.5,8,7.7,5.9,8.5,8.8,8,7.8,7.6,8.2,7.6,5.4,6.5,8.2,8.1,9.4,7.6,9.1,8.8,6.2,6.6,8.4,8.4,8.6,8.1,9,7.8,5.1,5.2,8,7.7,8.1,9,9.2,7.5,4.6,5.1,7,7.9,M,,2,4.75,6.5,8,A
49,7.9,6,6.4,7.4,8,7.1,8.4,7,8.1,7.5,6.7,8.7,8.5,7.9,9,7.1,7.8,7.4,6.3,8.3,7.8,8.9,9.1,7.5,5.8,8.2,8.2,8.6,8.1,9.1,8.1,7.9,7.3,6.7,6.9,6.8,8.5,9.3,8.1,6.9,7.9,8,7.6,7.3,8.2,9,6.5,6.5,F,,2,5,4,6.75,D1
