CID,Province,Revenue,Employees,Total_Asset,Profit,ROA,ROE,P.L.O,ROI,ROS,Debt.Equity.,CL.TA,L.TA,NWC
228,Vicenza,1516,16,1869,89,5.25,7.66,91.27,8.39,6.46,0,1,0,1504
229,Bologna,1503,9,843,55,15.89,56.46,41.14,NA,8.91,NA,1,0,138
230,Venezia,1501,4,744,6,10.39,32.3,7.12,NA,5.1,6.97,1,0,-13
231,Verona,1500,13,1062,2,2.62,0.85,6.48,NA,1.81,NA,0.87,0.13,209
232,Milano,1500,13,4762,3,-4.42,0.85,-1.46,-6.31,-13.63,6.1,0.65,0.35,855
233,Torino,1493,38,3266,-475,-10.6,NA,NA,NA,-22.79,-2.59,0.78,0.22,186
234,Alessandria,1480,14,1936,27,3.04,2.46,45.36,4.73,3.92,0.13,0.79,0.21,1351
235,Alessandria,1460,22,1101,182,26.22,46.41,63.22,NA,19.62,NA,0.65,0.35,362
236,Vicenza,1451,7,807,17,6.02,6.25,34.27,10.71,3.31,0.68,0.91,0.09,-144
237,Vicenza,1450,6,352,-3,1.74,-5.01,-51.36,NA,0.42,NA,0.81,0.19,75
238,Vicenza,1427,9,516,1,3.22,0.68,4.99,NA,1.15,NA,0.85,0.15,247
239,Alessandria,1427,2,1209,80,9.87,19.67,66.75,26.03,8.36,0,0.94,0.06,400
240,Milano,1424,11,1708,-890,-50.72,NA,NA,NA,NA,0,1,0,-841
241,Alessandria,1406,24,878,-10,2.04,-9.74,-55.29,NA,1.27,NA,0.81,0.19,91
242,Alessandria,1403,7,324,-74,-22.11,-49.12,NA,NA,-4.96,NA,1,0,45
243,Vicenza,1402,5,1368,11,2.08,7.61,40.36,3.13,2.02,3.57,0.37,0.63,473
244,Vicenza,1396,7,268,5,7.48,30.65,24.03,NA,1.44,0,1,0,19
245,Alessandria,1395,18,3622,-450,-4.2,NA,NA,-6.28,-10.16,-61.03,0.79,0.21,58
246,Vicenza,1389,6,360,6,8.15,6.11,19.17,19.84,2.09,0.61,1,0,41
247,Bergamo,1378,NA,2206,-1002,-40.56,-56.44,NA,NA,NA,0.16,0.67,0.33,1739
248,Vicenza,1371,17,1261,2,2.79,0.72,4.5,4.13,2.55,2.87,0.54,0.46,298
249,Milano,1365,0,579,12,7.95,17.49,26.07,13.6,3.33,3.62,0.89,0.11,60
250,Vicenza,1363,7,1480,36,6.1,6.95,40.27,9.46,5.26,0.82,0.96,0.04,353
251,Alessandria,1362,31,926,226,30.06,47.96,81.24,NA,20.35,0,1,0,523
252,Milano,1361,7,1363,215,22.31,19.6,70.83,27.67,22.27,0,1,0,1077
253,Milano,1358,10,1030,269,37.06,42.29,70.56,NA,28.02,0.1,0.83,0.17,538
254,Vicenza,1357,8,1701,2,0.86,0.15,10.32,NA,1.01,NA,0.62,0.38,963
255,Vicenza,1346,26,2092,-305,-10.27,NA,NA,-23.61,-15.84,6.6,0.92,0.08,349
256,Milano,1343,11,1965,205,14.47,11.99,72.18,16.61,21.08,0,1,0,1794
257,Padova,1317,3,1060,3,-13.68,2.91,-2.06,-23.58,-10.94,4.21,1,0,101
258,Vicenza,1317,25,905,-1996,-173.95,NA,NA,NA,NA,-0.58,1,0,-1552
259,Vicenza,1312,11,724,39,8.33,24.91,63.94,NA,4.59,NA,1,0,81
260,Vicenza,1290,13,926,11,3.39,7.08,35.93,NA,2.42,NA,1,0,39
261,Alessandria,1284,26,1216,17,5.36,2.29,25.53,NA,5.07,NA,0.91,0.09,520
262,Cremona,1276,NA,338,-806,-232.42,NA,NA,NA,NA,-0.25,1,0,-806
263,Alessandria,1275,NA,3002,-221,-1.13,NA,NA,-3.09,-2.49,23.92,0.93,0.07,218
264,Rimini,1272,12,1177,6,8.77,4.65,5.44,11.99,8.09,6.13,0.77,0.23,284
265,Alessandria,1263,12,1126,-1105,-93.88,NA,NA,NA,NA,-0.35,0.78,0.22,-433
266,Alessandria,1258,5,1226,71,11.31,10.33,51.41,17.48,10.81,0.15,1,0,799
267,Vicenza,1256,0,1494,15,1.28,1.26,78.7,NA,1.49,NA,1,0,392
268,Venezia,1254,15,6019,3,0.32,0.05,13.41,0.34,1.51,0,1,0,879
269,Vicenza,1251,6,1647,6,3.93,2.56,9.04,NA,5.08,NA,0.8,0.2,534
270,Milano,1247,12,1991,-767,-30.67,NA,NA,NA,-48.41,-1.03,1,0,-316
271,Vicenza,1245,12,1607,1,2.65,27.23,1.3,8.5,3.4,242.25,0.77,0.23,379
272,Venezia,1244,3,1901,16,2.01,1.18,42.49,NA,3.08,NA,1,0,1372
273,Vicenza,1241,15,978,-42,-2.68,-19.16,NA,-4.8,-2.11,1.51,0.74,0.26,404
274,Vicenza,1220,6,610,10,3.52,10.42,44.34,6.34,1.75,2.22,0.96,0.04,-36
275,Varese,1207,6,1306,108,12.63,12.97,65.17,NA,13.54,NA,0.76,0.24,948
276,Vicenza,1201,9,1739,15,1.45,1.09,59.17,1.67,2.09,0.1,0.75,0.25,482
277,Torino,1200,NA,2033,87,4.83,21.15,88.22,6.73,8.19,1.88,0.89,0.11,390
278,Vicenza,1195,10,622,-5,10.19,-7.58,-7.95,17.29,5.26,4.52,0.88,0.12,41
279,Milano,1183,1,553,11,2.11,7.64,91.59,4.21,0.99,0,0.67,0.33,272
280,Vicenza,1168,18,1649,13,2.73,6.98,28.99,4.23,3.74,4.69,0.74,0.26,-86
281,Bergamo,1160,17,1258,-84,-0.03,NA,NA,NA,-0.03,NA,0.76,0.24,174
282,Verona,1151,2,799,23,5.87,4.33,48.56,8.29,4.07,0,0.85,0.15,479
283,Alessandria,1149,13,2521,-79,2.47,-11.33,-126.05,3.97,5.41,1.27,0.68,0.32,826
284,Alessandria,1143,3,548,5,6.15,16.5,13.4,NA,2.9,NA,0.85,0.15,55
285,Alessandria,1142,12,5678,-368,-4.47,-17.36,NA,-6.4,-22.25,0.87,0.55,0.45,3767
286,Alessandria,1138,9,1193,1,8.85,0.7,1.02,18.75,9.28,2.67,0.89,0.11,285
287,Alessandria,1135,12,999,49,9.38,83.08,52.44,NA,8.17,2.68,1,0,22
288,Milano,1129,12,926,23,6.88,16.86,36.41,NA,5.64,0.44,0.93,0.07,400
289,Vicenza,1127,2,333,217,104.85,102.49,62.19,NA,NA,NA,1,0,202
290,Milano,1125,8,1462,-85,-2.6,NA,NA,-4.96,-3.36,14.08,0.68,0.32,637
291,Vicenza,1119,12,1532,7,-11.63,1.7,-3.93,-19.86,-15.68,1.18,1,0,-250
292,Vicenza,1115,NA,1775,2,5.26,0.55,2.47,NA,7.96,NA,0.87,0.13,-251
293,Milano,1113,9,1055,8,0.98,2.56,73.12,NA,0.92,NA,0.83,0.17,503
294,Milano,1109,10,618,46,19.41,63.25,38.11,NA,10.81,1.24,1,0,158
295,Vicenza,1102,15,1331,1,0.87,0.24,12.72,1.88,1.05,0,1,0,1013
296,Vicenza,1097,NA,346,-37,-5.98,-96.99,NA,-10.95,-1.88,4.01,1,0,6
297,Vicenza,1079,17,1456,46,5.16,8.99,60.9,8.23,6.96,0.35,0.5,0.5,989
298,Torino,1079,12,774,123,24.03,25.16,66.05,NA,17.21,NA,0.95,0.05,419
299,Cremona,1078,5,549,76,20.38,24.93,67.6,NA,10.38,NA,1,0,294
300,Padova,1077,18,1590,-1918,-115.6,NA,NA,NA,NA,-0.66,0.79,0.21,-1965
301,Alessandria,1075,17,751,11,4.43,15.72,32.19,NA,3.08,NA,1,0,39
302,Vicenza,1063,3,1046,-85,-5.22,-115.52,NA,-11.09,-5.07,5.71,0.79,0.21,238
303,Vicenza,1061,5,864,29,7.8,6.25,43.44,NA,6.32,NA,0.51,0.49,421
304,Vicenza,1049,10,870,-1,-0.01,-0.32,NA,-0.02,-0.01,0,1,0,534
305,Alessandria,1045,4,2625,10,2.57,1.86,14.08,3.27,6.44,3.04,0.56,0.44,866
306,Milano,1044,NA,532,4,1.91,3.53,43.65,NA,0.97,NA,0.98,0.02,80
307,Vicenza,1044,2,633,-98,-10.5,-86.33,NA,-29.73,-6.31,0.88,0.89,0.11,131
308,Vicenza,1040,11,1311,52,8.74,10.99,45.25,11.74,10.97,1.07,1,0,-682
309,Vicenza,1038,6,1428,-134,-9.02,NA,NA,NA,-12.4,0,0.99,0.01,-200
310,Milano,1037,4,276,6,8.75,14.66,24.28,NA,2.25,NA,1,0,38
311,Vicenza,1037,18,610,111,24.64,91.71,73.58,NA,13.45,NA,1,0,61
312,Milano,1032,4,983,-29,-1.83,NA,NA,-3.09,-1.74,9.55,0.51,0.49,355
313,Alessandria,1029,19,779,38,11.26,29.55,42.79,17.3,8.5,2.99,0.76,0.24,-8
314,Padova,1024,15,742,-32,-3.13,-63.19,NA,-6.58,-2.26,5.98,0.63,0.37,195
315,Alessandria,1023,5,1157,5,4.34,2.21,9.67,8.14,4.82,1.53,0.65,0.35,580
316,Vicenza,1020,4,332,4,4.18,3.27,29.63,NA,1.35,NA,0.81,0.19,139
317,Padova,1019,8,1172,-1,0.59,-1.96,-14.75,13.01,0.67,0.02,0.91,0.09,167
318,Milano,1015,16,1696,-61,3.15,NA,-114.37,NA,5.27,0,0.7,0.3,282
319,Vicenza,1004,0,155,19,21.62,56.78,56.28,NA,3.33,0,0.87,0.13,46
320,Padova,1004,4,7123,-9,0.85,-0.25,-15.27,1.05,6.04,0.56,0.4,0.6,-939
321,Alessandria,1001,14,528,31,16.35,39.4,35.84,NA,8.6,NA,1,0,344
322,Alessandria,997,10,1304,-169,-12.99,-125.36,NA,-18.57,-16.99,0,0.33,0.67,742
323,Pavia,996,1,933,6,1,4.33,63.33,NA,0.93,NA,1,0,85
324,Alessandria,995,9,1414,14,4.22,3.03,22.72,NA,5.91,NA,0.74,0.26,730
325,Alessandria,983,15,841,13,3.42,2.93,45.46,5.61,2.88,0.15,0.61,0.39,368
326,Alessandria,980,5,1106,76,11.59,10.64,59.49,16.79,13.06,0.06,1,0,711
327,Como,976,3,3008,1,4.55,0.15,0.84,7.33,13.39,1.38,0.57,0.43,409
328,Alessandria,967,11,1547,0,1.65,-1.83,0.35,17.62,2.51,-30.41,1,0,40
329,Vicenza,963,13,691,-52,-3.23,-17.42,NA,NA,-2.31,NA,0.96,0.04,373
330,Padova,957,4,1315,34,5.72,3.37,44.96,7.5,7.85,0,1,0,1128
331,Vicenza,956,3,462,23,8.15,20.39,62.28,24.77,3.92,0,0.89,0.11,149
332,Venezia,955,3,536,11,3.96,27.26,51.01,NA,2.22,0.04,1,0,38
333,Parma,954,0,1023,29,4.47,22.03,64.31,4.73,4.79,0.69,0.94,0.06,180
334,Vicenza,952,4,1467,9,1.99,24.59,29.17,5.5,2.93,14.16,0.94,0.06,242
335,Vicenza,949,9,627,-40,-6.14,NA,NA,-21.53,-4.05,23.56,0.82,0.18,76
336,Padova,947,8,831,34,7.11,64.14,57.72,19.92,6.18,4.58,0.81,0.19,131
337,Vicenza,944,4,541,22,5.72,9.24,72.29,NA,3.28,NA,0.67,0.33,343
338,Varese,939,9,2622,-429,-18.67,NA,NA,-22.78,NA,9.07,0.85,0.15,-318
339,Vicenza,936,14,1521,-14,10.06,-4.68,-9.19,16.44,16.2,2.07,0.68,0.32,590
340,Vicenza,930,2,931,-72,-1.02,NA,NA,-1.53,-1.02,36.74,0.78,0.22,174
341,Alessandria,929,14,1126,80,10.24,9.47,69.18,13.63,12.38,0,1,0,785
342,Vicenza,924,2,495,-29,-5.07,-21.58,NA,-12.06,-2.71,0.53,1,0,102
343,Alessandria,912,7,1053,-8,1.38,-45.25,-55.24,7.57,1.59,9.82,1,0,-1
344,Vicenza,901,7,889,21,6.09,21.42,39.49,NA,5.77,NA,0.55,0.45,-166
345,Bologna,898,2,315,2,0.88,29.99,60.94,2.86,0.31,0,1,0,12
346,Vicenza,895,9,1057,-49,-4.76,NA,NA,-19.6,-5.58,23.23,0.93,0.07,-81
347,Vicenza,889,3,315,21,9.91,21.62,67.39,20.82,3.51,0.54,0.78,0.22,83
348,Bologna,886,5,939,0,2.27,0.12,0.6,6.61,2.41,1.96,1,0,303
349,Monza e della Brianza,882,12,695,131,27.86,42.88,67.52,NA,21.94,0.34,0.66,0.34,85
350,Vicenza,881,9,318,-7,2.99,-13.31,-77.22,17.24,1.08,0,1,0,209
351,Milano,875,6,732,112,23.17,39.96,65.85,NA,19.39,0.09,1,0,311
352,Alessandria,870,9,2386,-31,0.77,NA,-169.41,1.53,2.05,-81.6,0.52,0.48,796
353,Alessandria,870,0,76,7,13.92,11.97,70.76,NA,1.22,NA,1,0,57
354,Milano,869,NA,1257,-79,-5.03,NA,NA,NA,-7.05,NA,1,0,-107
355,Vicenza,867,6,438,14,7.84,22.75,39.68,20.85,3.96,1.75,1,0,51
356,Vicenza,865,13,351,-119,-32.27,NA,NA,NA,-13.06,133.04,1,0,56
357,Bergamo,863,4,934,0,3.31,0.43,0.92,6.57,3.37,4.39,0.76,0.24,216
358,Alessandria,861,7,1286,74,8.92,7.47,64.77,NA,12.83,NA,1,0,916
359,Vicenza,860,8,575,3,2.62,2.24,22.72,8.7,1.74,0,1,0,46
360,Vicenza,860,11,1447,5,2.42,5.06,13.04,8.19,3.98,3.74,0.86,0.14,134
361,Alessandria,858,18,2175,14,2.98,2.48,22,5.52,7.54,1.04,0.91,0.09,1010
362,Milano,856,2,8125,48,3.13,2.56,18.66,3.7,29.02,1.75,0.71,0.29,3343
363,Alessandria,853,2,667,17,7.02,7.3,36.7,NA,5.47,NA,0.88,0.12,300
364,Vicenza,852,1,1221,9,2.47,1.08,30.8,3.38,3.53,0.04,1,0,853
365,Vicenza,850,5,2028,-41,-2.36,-6.74,NA,NA,-5.62,NA,1,0,430
366,Vicenza,841,14,1146,-458,-79.62,NA,NA,NA,NA,-1.51,1,0,-319
367,Alessandria,838,12,572,1,5.86,1.6,2.55,12.33,3.94,4.08,0.64,0.36,68
368,Alessandria,826,19,810,87,12.6,29.98,85.59,27.7,12.35,0.26,0.74,0.26,456
369,Vicenza,817,9,850,119,20.98,25.44,66.98,NA,21.48,0.1,0.82,0.18,651
370,Forlì-Cesena,808,13,560,78,21.54,81.15,64.65,NA,14.91,NA,1,0,218
371,Milano,804,14,1310,-775,-58.32,NA,NA,NA,NA,1.67,1,0,19
372,Vicenza,804,6,746,117,18.71,30.47,83.89,23.01,16.81,0.56,0.82,0.18,30
373,Alessandria,798,7,2095,478,28.28,99.02,80.67,NA,29.11,1.3,0.95,0.05,-91
374,Reggio nell'Emilia,789,1,301,29,20.33,54.14,46.62,NA,7.75,2.77,0.88,0.12,57
375,Bologna,788,11,1146,-80,-10.25,-14.85,NA,-20.59,-14.53,0.06,1,0,760
376,Vicenza,771,10,572,12,7.57,6.47,28.71,11.44,5.62,0.25,0.59,0.41,189
377,Vicenza,769,2,582,19,5.42,16.96,59.6,7.76,4.1,0,0.33,0.67,392
378,Alessandria,770,10,1287,60,6.47,5.89,72.26,8.15,10.75,0,1,0,1185
379,Vicenza,762,12,421,16,7.34,32.5,51.17,18.51,4.05,2.43,1,0,78
380,Alessandria,762,7,973,26,4.38,3.25,60.2,5.14,5.46,0,0.64,0.36,625
381,Milano,762,7,1680,-161,6.51,NA,-147.75,-9.72,9.15,0,0.79,0.21,-771
382,Alessandria,754,6,1255,3,4.62,1.28,4.35,29.43,7.67,0,1,0,97
383,Brescia,752,12,778,-16,-0.1,-16.56,NA,-0.18,-0.11,2.9,0.61,0.39,346
384,Vicenza,750,10,1098,-345,-29.76,NA,NA,NA,-43.15,NA,0.75,0.25,-444
385,Milano,748,10,658,-19,1.3,NA,-220.39,NA,1.13,0,1,0,-44
386,Alessandria,745,4,275,13,10.78,6.54,42.32,14.21,3.98,0.09,0.63,0.37,202
387,Alessandria,742,8,663,37,12.04,33.42,45.89,20.11,10.73,2.62,0.58,0.42,330
388,Alessandria,736,5,642,97,18.09,32.67,83.08,27.84,15.73,0.41,0.83,0.17,326
389,Alessandria,736,3,1653,54,3.72,6.67,88.31,4.42,8.12,0.14,0.28,0.72,1407
390,Vicenza,733,4,288,-2,1.84,-1.2,-32.52,2.47,0.72,0,0.46,0.54,111
391,Vicenza,733,10,1519,-944,-55.07,NA,NA,NA,NA,NA,0.8,0.2,-635
392,Rimini,725,5,1637,-54,0.07,-41.35,NA,0.16,0.16,2.61,1,0,181
393,Alessandria,725,9,1368,-178,-10.79,-131.79,NA,-17.01,-20.32,5.43,0.46,0.54,857
394,Varese,725,8,685,91,19.69,18.09,67.42,NA,18.6,NA,0.97,0.03,424
395,Vicenza,720,10,497,2,0.9,0.93,48.85,1.71,0.6,0,1,0,164
396,Vicenza,718,5,359,-20,-2.01,NA,NA,-2.38,-1,35.77,1,0,-2
397,Milano,718,6,474,87,21.62,49.59,84.45,NA,14.27,0.03,1,0,324
398,Vicenza,712,11,550,-1,3.82,-5.53,-4.51,14.37,2.93,7.53,0.79,0.21,92
399,Vicenza,711,7,404,-12,5.28,-15.7,-55.81,10.4,2.98,1.71,0.58,0.42,190
400,Vicenza,709,17,2921,54,3.86,2.93,47.69,4.79,14.22,0.19,0.81,0.19,499
401,Milano,708,12,457,9,5.63,17.76,36.17,11.81,3.6,3.16,0.76,0.24,72
402,Vicenza,708,3,295,1,3.55,2.45,7.08,NA,1.48,0,1,0,22
403,Vicenza,702,9,497,-109,-22.91,NA,NA,-29.06,-13.08,0,1,0,31
404,Alessandria,702,1,299,-258,-82.27,NA,NA,NA,-34.98,0,1,0,100
405,Vicenza,701,7,475,13,3.77,17.29,71.17,24.29,2.55,0,0.71,0.29,179
406,Vicenza,701,9,803,0,2.07,-0.63,-2.41,3.41,2.33,3.51,0.51,0.49,432
407,Varese,697,2,253,-2,1.34,-9.61,-72.56,NA,0.47,NA,0.74,0.26,82
408,Vicenza,694,121,17092,-3934,-9.34,NA,NA,NA,NA,0,0.88,0.12,-9640
409,Como,688,10,607,6,1.79,1.56,50.73,3.04,1.57,0,0.97,0.03,429
410,Alessandria,684,12,254,16,13.66,44.05,45.31,20.73,5.05,3.69,0.73,0.27,43
411,Alessandria,680,13,279,35,21.79,32.47,57.18,NA,8.92,0.01,1,0,171
412,Alessandria,677,12,641,81,19.23,20.01,65.89,NA,18.2,0,1,0,483
413,Milano,676,8,131,-106,-67.41,NA,NA,NA,-12.93,-0.87,1,0,-27
414,Ravenna,666,0,431,8,4.09,2.6,43.64,NA,2.63,NA,1,0,249
415,Vicenza,659,13,1159,0,1.67,0.02,0.27,NA,2,NA,0.7,0.3,579
416,Torino,653,4,481,111,34.16,39.85,67.55,NA,25.08,0,1,0,338
417,Vicenza,650,5,537,-83,-10.91,NA,NA,NA,-9.02,-5.45,1,0,-95
418,Vicenza,650,0,1465,10,4.15,8.83,16.97,7.75,9.35,5.31,0.48,0.52,901
419,Alessandria,648,7,447,29,12.19,19.29,53.21,16.7,8.41,1.17,0.74,0.26,78
420,Alessandria,646,17,2792,-428,-12.48,-54.61,NA,-16.74,NA,0.27,0.3,0.7,1783
421,Alessandria,646,3,896,19,3.53,2.76,59.67,4.55,4.86,0.02,1,0,782
422,Alessandria,642,7,1202,4,1.82,0.46,16.83,2.14,3.36,0.27,0.93,0.07,910
423,Milano,636,6,963,2,2.33,0.57,6.92,3.73,3.31,1.02,0.88,0.12,373
424,Vicenza,635,14,6572,-459,-6.83,-22.42,NA,-7.57,NA,0.07,0.07,0.93,5088
425,Genova,635,NA,395,-270,-62.47,NA,NA,NA,-38.78,NA,1,0,-249
426,Milano,635,6,807,10,4.93,4.68,24.11,NA,6.24,NA,0.68,0.32,410
427,Alessandria,633,NA,619,-179,-25.65,NA,NA,NA,-25.08,1.32,1,0,188
428,Milano,631,5,1159,2,-0.9,0.59,-18.49,-1.5,-1.61,0,1,0,519
429,Vicenza,630,10,523,1,8.7,8.4,2.99,18.76,7.21,13.96,0.87,0.13,36
430,Padova,627,5,1515,66,4.16,8.83,104.92,NA,9.98,NA,1,0,743
431,Milano,626,0,545,2,2.26,2.02,12.46,6.19,1.9,1.5,1,0,58
432,Rimini,623,10,640,-72,-10.73,-20.06,NA,-19.03,-11,0,1,0,569
433,Vicenza,617,2,888,-72,-9.7,-21.4,NA,-13.47,-12.13,0,0.3,0.7,457
434,Milano,611,0,1103,78,10.64,26.42,66.48,11.21,19.21,0,1,0,-415
435,Varese,609,NA,3148,-2002,-68.6,NA,NA,NA,NA,-1.8,0.42,0.58,775
436,Rimini,605,5,299,6,4.03,21.3,49.49,NA,1.85,NA,1,0,74
437,Vicenza,605,13,541,23,10.91,16.6,38.52,20.23,9.58,1.04,0.95,0.05,224
438,Alessandria,600,5,2390,-226,-6.98,-49.07,NA,NA,-27.7,NA,0.77,0.23,691
439,Alessandria,594,7,1098,-64,-5.7,-7.68,NA,-7.56,-10.39,0,1,0,962
440,Alessandria,594,15,663,-18,-2.07,-9.1,NA,-4.53,-2.31,0.28,0.8,0.2,241
441,Milano,590,1,332,156,65.83,92.88,71.49,NA,NA,NA,1,0,171
442,Vicenza,588,7,1119,-2,-0.2,-0.9,NA,-0.26,-0.37,0.01,1,0,369
443,Varese,585,0,1440,-544,-34.02,NA,NA,NA,NA,NA,0.78,0.22,91
444,Alessandria,581,1,1181,2,4.42,0.42,3.57,5.94,8.98,0.96,1,0,437
445,Padova,576,5,1379,-181,-10.02,NA,NA,-14.63,-23.94,8.49,0.69,0.31,-3
446,Vicenza,575,2,1059,-248,-33.37,NA,NA,NA,NA,0,0.85,0.15,-169
447,Alessandria,574,7,259,-172,-62.67,-69.73,NA,NA,-27.78,0,1,0,238
448,Bergamo,568,11,1555,-30,-0.98,-7.25,NA,-1.58,-2.68,1.31,0.86,0.14,-23
449,Vicenza,566,5,376,0,3.69,0.26,1.25,6.65,2.43,2.19,0.66,0.34,151
450,Alessandria,564,12,298,-13,-1.63,-14.17,NA,-2.96,-0.85,0.78,0.85,0.15,56
451,Milano,562,0,221,-36,-15.59,NA,NA,NA,-6.14,-0.1,1,0,-67
452,Vicenza,561,13,148,10,-28.37,14.45,-23.46,-28.41,-7.18,0,0.21,0.79,119
453,Vicenza,557,2,182,40,33.07,36.53,66.3,NA,10.8,NA,1,0,117
454,Vicenza,555,5,845,8,2.19,2.29,41.13,NA,3.28,NA,0.28,0.72,696
455,Vicenza,555,14,568,-21,5.14,-10.48,-70.4,8.15,5.25,0.83,0.53,0.47,331
456,Verona,554,3,660,5,3.84,6.79,18.21,NA,4.4,NA,0.97,0.03,47
457,Vicenza,552,0,503,20,4.84,5.33,83.36,5.92,4.41,0.08,1,0,388
458,Padova,551,0,48,-49,-153.97,NA,NA,NA,-13.46,0,1,0,-33
459,Torino,547,10,609,59,9.11,15.64,106.64,NA,9.97,NA,1,0,453
460,Vicenza,546,7,370,105,42.75,54.03,66.62,NA,28.98,0,1,0,247
461,Vicenza,545,6,421,-615,-132.56,NA,NA,NA,NA,-0.21,0.98,0.02,-454
462,Venezia,542,6,356,1,5.42,2.38,3.93,10.86,3.55,4.58,0.85,0.15,-51
463,Alessandria,540,12,416,-121,-7.45,NA,NA,NA,-5.74,0,1,0,-80
464,Alessandria,537,15,844,-58,-3.44,-49.49,NA,-6.92,-5.38,1.52,0.8,0.2,142
465,Vicenza,536,8,277,-416,-141.25,NA,NA,NA,NA,NA,0.95,0.05,-389
466,Vicenza,528,19,395,-277,-69.8,NA,NA,NA,NA,-0.3,1,0,-74
467,Vicenza,527,8,364,-8,14.24,-3.96,-15.36,19.69,9.11,0.31,0.82,0.18,235
