CID,Province,Revenue,Employees,Total_Asset,Profit,ROA,ROE,P.L.O,ROI,ROS,Debt.Equity.,CL.TA,L.TA,NWC
715,Vicenza,183,5,81,-47,-56.8,NA,NA,NA,-25.11,0,1,0,8
716,Vicenza,183,2,7015,-105,-5.22,NA,NA,NA,NA,-0.27,1,0,-14321
717,Vicenza,181,5,121,-239,-187.55,NA,NA,NA,NA,-0.58,0.68,0.32,-116
718,Vicenza,181,4,229,2,5.64,1.52,19.36,NA,7.12,NA,0.84,0.16,129
719,Alessandria,181,2,172,12,10.37,21.4,67.63,NA,9.67,NA,0.48,0.52,121
720,Vicenza,180,2,119,-16,-12.45,NA,NA,-17.66,-8.25,0,0.29,0.71,83
721,Vicenza,180,0,251,2,5.68,13.52,13.45,8.66,7.92,10.61,0.75,0.25,-22
722,Monza e della Brianza,179,0,244,6,4.14,7.86,60.3,NA,5.64,NA,1,0,-129
723,Bergamo,178,0,65,-2,-3.02,-30.47,NA,-3.87,-1.11,6.88,1,0,4
724,Vicenza,176,1,273,-8,-3.15,-10.92,NA,NA,-4.56,NA,0.28,0.72,144
725,Alessandria,176,1,229,2,2.44,1.98,43.45,NA,3.11,NA,0.93,0.07,67
726,Alessandria,176,3,325,13,5.34,5.31,77.59,6.85,9.86,0,0.29,0.71,320
727,Treviso,175,1,142,4,5.88,9.15,45.3,11.04,4.56,0.83,0.8,0.2,12
728,Vicenza,174,0,223,-268,-123.75,NA,NA,NA,NA,-1.11,0.72,0.28,-205
729,Vicenza,173,4,262,3,2.74,2.52,44.96,NA,4.15,NA,0.6,0.4,203
730,Alessandria,172,NA,214,15,13.43,9.75,53.53,17.42,16.68,0.04,1,0,187
731,Vicenza,171,8,183,-48,-21.62,NA,NA,NA,-21.78,-3.2,0.63,0.37,27
732,Vicenza,170,4,3764,-592,-12.49,NA,NA,NA,NA,-0.93,0.66,0.34,731
733,Ferrara,170,NA,386,-26,-9.13,NA,NA,NA,-19.06,4.35,0.82,0.18,49
734,Alessandria,170,3,142,18,24.26,21.69,51.48,NA,20.24,NA,1,0,92
735,Brescia,170,0,119,-40,-26.89,NA,NA,NA,-17.05,-3.86,0.78,0.22,-9
736,Alessandria,168,2,161,44,29.41,48.14,93.45,NA,28.17,0.35,1,0,90
737,Vicenza,168,NA,235,-139,-55.99,NA,NA,NA,NA,0.51,1,0,-115
738,Milano,168,NA,755,-41,-2.86,-39.16,NA,-5.77,-12.86,1.51,0.81,0.19,-258
739,Vicenza,167,4,376,0,2.51,1.74,3.53,3.38,5.51,13.57,0.1,0.9,143
740,Alessandria,167,3,227,1,3.53,61.39,14.79,NA,4.76,NA,0.75,0.25,-28
741,Venezia,167,2,284,8,5.29,4.85,52.17,NA,9.02,NA,0.34,0.66,156
742,Vicenza,166,3,149,-2,-0.07,-5.58,NA,-0.26,-0.06,0.01,1,0,69
743,Bergamo,165,0,102,-10,-3.38,-59.93,NA,NA,-2.09,NA,1,0,10
744,Vicenza,164,2,264,24,9.54,9.2,94.4,9.75,15.31,0,1,0,140
745,Vicenza,163,5,317,11,6.16,41.65,55.27,10.83,11.96,5.95,0.45,0.55,208
746,Alessandria,162,5,158,-45,-28.27,NA,NA,NA,-27.51,NA,1,0,-189
747,Vicenza,161,1,402,94,31.91,25.88,72.9,NA,NA,0,1,0,350
748,Alessandria,157,2,110,-23,-16.68,NA,NA,NA,-11.61,NA,0.14,0.86,84
749,Vicenza,157,4,127,-7,-3.36,-7.95,NA,NA,-2.71,NA,1,0,86
750,Milano,157,2,439,1,1.69,2.39,17.11,NA,4.03,NA,0.57,0.43,218
751,Verbano-Cusio-Ossola,157,5,346,-93,-17.81,-44.26,NA,-29.32,-38.54,0,1,0,287
752,Brescia,157,1,232,-29,-11.26,NA,NA,NA,-16.5,NA,1,0,-64
753,Milano,156,4,249,-44,-14.89,-112.68,NA,NA,-22.85,NA,1,0,56
754,Milano,156,6,543,-6,0.69,-20.47,-159.18,1.32,1.03,8.71,0.45,0.55,283
755,Alessandria,153,3,396,-17,-2.66,-6.44,NA,-3.77,-6.83,0.07,1,0,308
756,Modena,152,0,115,7,10.54,20.3,59.59,NA,7.8,NA,0.86,0.14,39
757,Padova,152,2,130,0,1.53,2.36,13.78,2.6,1.31,2.23,0.66,0.34,44
758,Alessandria,152,1,91,22,34.6,32.42,69.89,NA,20.63,NA,1,0,63
759,Vicenza,152,2,67,-15,-25.85,-98.17,NA,NA,-11.45,0.01,1,0,23
760,Vicenza,152,6,132,-196,-97.33,NA,NA,NA,NA,-0.41,0.88,0.12,-281
761,Vicenza,151,3,80,-55,-78.57,-79.01,NA,NA,-41.31,0,1,0,67
762,Padova,151,4,212,-21,-9.6,NA,NA,-24.52,-13.5,-5.09,0.87,0.13,-101
763,Alessandria,149,3,99,0,5.88,5.49,8.54,NA,3.89,NA,0.91,0.09,16
764,Alessandria,146,0,119,0,2.25,0.59,8.74,2.92,1.8,1.33,0.47,0.53,70
765,Como,144,1,149,3,10.19,18.49,22.92,NA,10.55,NA,0.23,0.77,53
766,Alessandria,144,0,324,-34,10.99,-14.89,-94.33,12.05,24.72,0,0.08,0.92,315
767,Vicenza,142,0,716,-108,-13.65,NA,NA,NA,NA,NA,0.85,0.15,129
768,Vicenza,142,1,78,1,0.84,13.79,100,NA,0.46,NA,1,0,-32
769,Piacenza,140,3,139,6,10.05,20.55,41.13,18.61,10,1.2,0.71,0.29,51
770,Vicenza,139,NA,137,-20,-5.17,-83.36,NA,NA,-5.09,NA,1,0,25
771,Genova,139,4,144,6,4.8,19.67,82.43,NA,4.64,NA,0.78,0.22,41
772,Bologna,139,1,333,-38,-10.5,-15.14,NA,-12.42,-23.66,0.07,0.84,0.16,85
773,Vicenza,139,2,146,15,14.33,33.27,72.9,NA,15.12,NA,1,0,45
774,Milano,137,4,1147,-1,1.58,-0.55,-4.69,1.8,10.54,4.26,0.96,0.04,241
775,Alessandria,137,2,298,-28,-8.48,NA,NA,NA,-16.73,NA,0.17,0.83,93
776,Pavia,136,2,472,0,3.39,1.4,2.87,7.39,11.71,1.59,1,0,46
777,Lecco,132,0,56,-6,-10.15,-47.27,NA,-17.5,-4.27,0,1,0,-2
778,Ravenna,132,0,101,9,15.34,51.62,58.48,NA,11.78,0.29,1,0,-5
779,Monza e della Brianza,131,1,111,3,3.2,15.33,70.64,NA,2.34,NA,1,0,-21
780,Vicenza,130,0,421,52,14.53,18.64,84.92,15.05,NA,0.38,0.19,0.81,11
781,Venezia,129,8,133,-46,-34.25,NA,NA,NA,-35.3,0,1,0,-66
782,Vicenza,129,NA,126,0,2.64,0.97,12.11,6.78,2.59,0.18,1,0,2
783,Alessandria,128,1,182,10,7.52,7.63,76.01,NA,10.53,NA,0.76,0.24,139
784,Bologna,128,2,938,-109,-11.6,NA,NA,NA,-32.6,-1.01,1,0,-2380
785,Milano,127,0,95,1,7.25,6.37,11.61,NA,5.39,NA,0.89,0.11,3
786,Varese,127,NA,506,3,2.22,4.62,27.7,6.59,8.83,1.53,1,0,121
787,Vicenza,127,1,107,-8,-4.26,-14.71,NA,-7.97,-3.58,0.1,1,0,52
788,Milano,127,4,71,16,31.52,79.03,73.1,NA,16.99,NA,1,0,6
789,Lecco,126,1,252,1,5.68,2.99,10.21,6.82,11.32,3.3,0.58,0.42,111
790,Alessandria,126,0,138,0,4.65,0.08,0.65,9.9,5.01,0.23,1,0,42
791,Vicenza,126,0,465,-3,-0.14,-17.46,NA,-4.42,-0.48,0,0.1,0.9,127
792,Vicenza,126,2,126,-1,2.23,-1.39,-45.79,3.03,2.12,0,1,0,34
793,Vicenza,126,5,48,-41,-84.17,NA,NA,NA,-32.47,NA,1,0,19
794,Vicenza,125,5,291,17,8.81,29.47,65.47,21.06,20.51,1.14,0.98,0.02,-12
795,Varese,124,NA,23,-34,-130.97,NA,NA,NA,-24.39,-0.81,1,0,-25
796,Vicenza,123,NA,252,7,5.56,26.42,51.3,11.89,11.34,3.33,1,0,58
797,Vicenza,123,NA,166,2,0.8,12.93,157.86,4.64,1.05,0.76,1,0,-56
798,Alessandria,123,2,159,13,11.12,17.59,75.99,NA,10.51,NA,1,0,54
799,Alessandria,122,12,1395,-39,-2.75,-8.94,NA,-8.85,-31.35,0,0.99,0.01,544
800,Alessandria,121,2,290,0,2.49,0.86,2.62,19.13,5.9,0.72,0.59,0.41,119
801,Milano,121,4,46,2,7.41,12.93,59.32,21.79,2.85,0,1,0,-1
802,Torino,120,6,3186,-335,-10.5,NA,NA,-16.89,NA,0,0.37,0.63,1987
803,Milano,120,5,107,-6,-4.75,NA,NA,NA,-3.91,NA,0.54,0.46,9
804,Vicenza,119,0,85,-6,-0.59,-10.63,NA,-0.62,-0.42,0.38,0.75,0.25,-9
805,Vicenza,119,0,364,13,4.85,3.46,71.18,4.86,14.81,0,1,0,363
806,Vicenza,119,17,140,-197,-137.2,NA,NA,NA,NA,NA,1,0,-160
807,Alessandria,118,1,72,-105,-132.8,NA,NA,NA,NA,-1.28,1,0,-49
808,Varese,118,3,446,-3,2.6,-3.98,-26.43,NA,9.87,NA,0.57,0.43,285
809,Alessandria,117,2,234,2,4.79,9.47,13.64,5.56,9.6,3.89,0.4,0.6,149
810,Bergamo,116,1,110,2,4.79,14.19,31.28,9.68,4.55,1.28,1,0,0
811,Varese,116,NA,62,-11,-16.48,-25.01,NA,-23.44,-8.76,0,1,0,44
812,Alessandria,116,2,85,-3,7.79,-6.63,-38.67,15.99,5.66,0.07,0.69,0.31,43
813,Treviso,115,0,1168,-4,0.02,-0.68,NA,0.03,0.16,0,0.53,0.47,-161
814,Alessandria,115,2,112,10,-9.14,70.4,-96.93,-16.88,-8.89,3.3,1,0,41
815,Vicenza,113,2,108,-3,0.9,-41.29,-312.8,10.52,0.86,0.25,0.61,0.39,43
816,Alessandria,113,0,1325,-10,-0.69,-0.78,NA,NA,-8.03,NA,1,0,810
817,Milano,112,1,151,12,12.88,16.93,61.2,NA,17.13,NA,0.88,0.12,40
818,Vicenza,112,1,106,17,26.06,41.02,61,NA,24.33,NA,1,0,43
819,Alessandria,112,1,262,-47,-13.83,NA,NA,NA,-32.4,-3.07,1,0,-61
820,Torino,112,2,246,-11,4.68,NA,-96.48,8.84,10.31,42.85,0.53,0.47,99
821,Vicenza,111,1,87,-39,-43.22,NA,NA,NA,-33.82,NA,1,0,-58
822,Vicenza,111,1,137,-7,-5.65,-40.96,NA,-7.11,-6.98,0.04,1,0,13
823,Como,110,NA,173,-12,-5.9,-115.86,NA,-10.4,-8.86,3.81,0.71,0.29,49
824,Milano,110,NA,96,-1,-0.49,-6.2,NA,NA,-0.39,NA,0.2,0.8,75
825,Vicenza,109,NA,24,-177,-676.35,NA,NA,NA,NA,-0.03,1,0,-110
826,Milano,109,NA,20,-19,-80.25,NA,NA,NA,-14.68,0,1,0,-29
827,Varese,108,1,149,-37,-23.53,NA,NA,NA,-31.51,NA,1,0,15
828,Alessandria,108,2,329,-7,-2.47,-42.5,NA,-9.18,-7.44,1.29,0.84,0.16,30
829,Vicenza,107,4,183,-392,-202.89,NA,NA,NA,NA,NA,0.77,0.23,-217
830,Vicenza,107,0,59,11,24.02,27.88,75.16,28.98,13.25,0.28,1,0,29
831,Genova,107,3,205,1,1.2,0.87,38.04,1.28,2.31,0.01,0.07,0.93,115
832,Milano,106,1,224,0,1.12,3.8,18.25,NA,2.24,NA,1,0,12
833,Vicenza,104,2,230,-23,-0.58,-24.03,NA,-0.8,-1.28,0.66,0.95,0.05,52
834,Cremona,104,0,178,0,7.33,1.07,2.61,NA,12.31,NA,0.84,0.16,-15
835,Vicenza,104,4,154,4,4.25,4.1,57.38,NA,6.3,NA,1,0,70
836,Varese,104,1,395,-29,-6.7,-68.02,NA,NA,-25.49,NA,0.25,0.75,300
837,Genova,103,0,183,-114,-92.14,NA,NA,NA,NA,0,0.31,0.69,112
838,Bologna,103,0,180,30,16.9,16.55,97.22,NA,29.52,NA,1,0,176
839,Varese,103,2,147,-2,0.55,-2.64,-248.57,NA,0.78,NA,1,0,108
840,Alessandria,103,2,81,0,3.35,0.54,5.32,NA,2.63,NA,0.85,0.15,29
841,Monza e della Brianza,103,0,118,-2,5.6,-10.11,-24.81,NA,6.36,NA,0.89,0.11,54
842,Milano,101,NA,224,4,2.93,23.84,57.28,10.75,6.49,2.87,1,0,-44
843,Alessandria,98,0,282,-8,-1.93,-7.7,NA,-3.95,-5.55,0.31,1,0,73
844,Vicenza,97,3,472,4,1.63,1.4,47.52,NA,7.49,NA,0.96,0.04,80
845,Alessandria,96,6,300,-9,-2.15,NA,NA,NA,-6.57,-1.26,0.79,0.21,-51
846,Vicenza,96,0,765,-137,-6.91,NA,NA,NA,NA,-1.64,1,0,-522
847,Bergamo,96,3,228,-9,-2.97,NA,NA,NA,-6.63,NA,0.94,0.06,-31
848,Vicenza,96,4,86,-87,-92.19,NA,NA,NA,NA,NA,1,0,45
849,Alessandria,95,0,104,-1,0.27,-2.73,-193.45,0.7,0.29,0,1,0,0
850,Torino,94,3,70,-2,-1.85,NA,NA,-6.25,-1.38,-3.79,1,0,-5
851,Bologna,93,0,93,2,2.65,4.68,81.2,3.55,2.67,0.34,1,0,-4
852,Vicenza,93,4,188,8,4.4,7.55,93.5,NA,5.98,NA,1,0,7
853,Vicenza,92,4,97,24,26.08,33.01,97.2,NA,27.25,NA,1,0,69
854,Alessandria,92,0,13,379,NA,NA,-245.17,NA,NA,0,0.06,0.94,12
855,Vicenza,92,0,128,23,25.99,31.26,69.35,NA,NA,NA,1,0,110
856,Padova,92,0,82,11,20.46,41.93,63.34,NA,18.25,0,1,0,23
857,Alessandria,91,1,327,2,2.38,1.2,28.39,NA,8.46,NA,0.9,0.1,204
858,Vicenza,91,0,72,-3,-3.77,-8.81,NA,-6.34,-3.01,0,1,0,28
859,Milano,90,0,62,0,4.15,0.52,4.78,NA,2.78,NA,1,0,-2
860,Forlì-Cesena,90,2,103,3,4.53,25.53,73.3,NA,5.21,NA,1,0,-19
861,Alessandria,88,1,468,-693,-141.02,NA,NA,NA,NA,0,0.44,0.56,-3
862,Vicenza,88,0,1120,4,0.64,14.36,51.07,0.65,8.16,0,0.02,0.98,841
863,Alessandria,87,1,551,-213,-33.76,NA,NA,NA,NA,-0.63,0.83,0.17,-238
864,Bergamo,87,1,99,1,5.6,4.56,13.87,NA,6.39,0.07,1,0,9
865,Vicenza,87,0,191,18,18.77,32.66,49.92,NA,NA,NA,0.98,0.02,55
866,Vicenza,87,1,66,9,22.8,63.57,61.66,NA,17.37,NA,1,0,11
867,Alessandria,85,0,39,-8,-16.01,-21.94,NA,NA,-7.24,NA,1,0,35
868,Alessandria,85,NA,95,41,70.21,53.56,61.57,NA,NA,0,1,0,78
869,Vicenza,84,0,128,60,57.46,65.29,81.07,NA,NA,0,1,0,83
870,Alessandria,84,0,156,-1,2.25,-6.32,-26.17,NA,4.12,NA,1,0,22
871,Vicenza,83,0,223,16,9.13,56.61,76.88,11.26,24.63,5.54,0.35,0.65,89
872,Alessandria,83,1,253,0,-0.03,-0.15,NA,-0.04,-0.09,0,0.59,0.41,219
873,Milano,82,0,70,3,9.43,8.81,42.56,13.5,8.01,0.5,1,0,27
874,Venezia,82,0,107,5,4.91,32.56,100.04,7.19,6.37,0,0.37,0.63,67
875,Vicenza,82,1,96,6,9.35,80.16,67.59,NA,10.98,NA,1,0,-39
876,Udine,81,2,102,-5,-1.85,-8.12,NA,NA,-2.3,NA,1,0,54
877,Vicenza,81,0,80,-4,-4.31,-6.65,NA,NA,-4.15,NA,1,0,50
878,Vicenza,81,4,40,-17,-42.32,NA,NA,NA,-20.97,NA,1,0,-23
879,Vicenza,80,5,419,-8,2.47,-41.34,-77.91,3.92,12.8,12.53,0.39,0.61,61
880,Padova,80,1,371,7,4.89,8.03,40.93,5.31,20.33,1.79,0.13,0.87,313
881,Vicenza,78,NA,204,-65,-30.08,NA,NA,NA,NA,NA,1,0,-160
882,Rimini,78,0,30,2,13.76,8.68,37.59,NA,5.35,NA,1,0,11
883,Milano,78,1,394,1,1.4,5.33,16.94,NA,5.63,NA,0.81,0.19,23
884,Vicenza,78,0,160,9,10.74,13.15,52.05,12.03,22.17,0,0.17,0.83,143
885,Bergamo,77,4,1512,-558,-37.9,NA,NA,NA,NA,-2.24,0.62,0.38,-75
886,Vicenza,76,2,187,-10,-3.59,-104.34,NA,-7.73,-6.62,0.8,0.6,0.4,72
887,Torino,75,4,346,-7,-33.23,-6.74,NA,NA,NA,1.18,0.38,0.62,116
888,Milano,74,0,106,5,7.83,26.6,56.79,NA,11.09,NA,1,0,12
889,Vicenza,74,0,2028,-98,-7.12,NA,NA,NA,NA,-0.89,1,0,-5728
890,Torino,74,NA,37,-28,-93.01,-88.34,NA,NA,-45.46,0,1,0,32
891,Alessandria,73,0,156,0,2.53,0.53,4.83,NA,5.29,NA,0.09,0.91,124
892,Vicenza,73,NA,144,1,5.13,1.77,11.57,NA,10.14,NA,0.85,0.15,-4
893,Milano,73,0,107,-19,-18.72,-18.22,NA,-19.1,-25.94,0,1,0,105
894,Vicenza,73,NA,120,7,8.28,8.66,69.73,NA,12.79,NA,0.79,0.21,12
895,Milano,72,0,2404,47,2.84,5.08,69,7.36,NA,0,1,0,1033
896,Alessandria,72,1,191,3,8.7,12.35,19.92,NA,22.84,NA,0.28,0.72,126
897,Treviso,71,0,15,-26,-88.96,NA,NA,NA,-18.77,NA,0,1,15
898,Vicenza,71,1,98,-51,-48.16,NA,NA,NA,NA,-7.1,0.7,0.3,-6
899,Alessandria,71,NA,104,-37,-35.72,NA,NA,NA,NA,0,1,0,-86
900,Varese,71,3,43,-124,-274.98,NA,NA,NA,NA,-0.64,1,0,-111
901,Alessandria,71,5,535,-24,-3.54,NA,NA,NA,-26.85,-0.45,0.46,0.54,250
902,Milano,70,NA,561,38,0.88,7.61,NA,NA,6.5,NA,1,0,501
903,Vicenza,69,NA,116,-13,-11.18,NA,NA,NA,-10.28,28.7,1,0,1
904,Varese,69,2,47,-122,-251.94,NA,NA,NA,NA,-0.78,0.66,0.34,-128
905,Udine,69,0,110,-7,-2.2,-37.6,NA,-4.33,-3.51,1.95,1,0,15
906,Venezia,68,0,212,-3,1.47,-7.08,-83.33,1.68,4.57,4.07,0.15,0.85,18
907,Venezia,66,1,76,0,2.77,0.28,7.39,3.72,1.82,0,1,0,34
908,Milano,65,NA,658,-135,-18.54,NA,NA,-29.09,NA,-0.02,0.29,0.71,409
909,Vicenza,64,2,305,-11,-2.57,-4.32,NA,NA,-12.18,NA,0.27,0.73,166
910,Varese,63,0,162,13,11.58,14.68,67.97,NA,29.59,NA,0.19,0.81,155
911,Alessandria,62,NA,192,0,7.24,-0.56,-0.57,NA,22.41,NA,1,0,-35
912,Vicenza,62,1,359,-7,-0.17,-9.17,NA,-0.31,-0.95,1.4,0.6,0.4,6
913,Reggio nell'Emilia,62,0,179,4,4.31,2.31,48.1,4.8,12.5,0,1,0,39
914,Bologna,62,1,355,-3,-0.53,-34.09,NA,-0.96,-3.05,18.07,0.51,0.49,150
915,Alessandria,61,0,4176,-15,-0.24,-0.36,NA,-0.24,-16.15,0,1,0,45
916,Treviso,60,0,210,-21,-6.86,NA,NA,-11.73,-23.91,-3.94,0.46,0.54,105
917,Piacenza,60,0,17,-11,-430.37,-65.99,NA,NA,NA,NA,1,0,16
918,Torino,59,0,409,1,1.17,5.08,24.43,NA,8.07,NA,0.94,0.06,0
919,Venezia,59,2,57,-17,-29.42,NA,NA,NA,-28.22,1.86,1,0,4
920,Vicenza,59,1,242,-15,-4.04,NA,NA,-22.75,-16.61,4.49,0.9,0.1,31
921,Reggio nell'Emilia,58,0,258,33,16.38,18.57,77.29,22.22,NA,0.08,0.77,0.23,215
922,Milano,57,0,112,-20,-18,NA,NA,-18.28,-34.17,0,0.02,0.98,110
923,Vicenza,56,1,61,14,34.1,58.21,66.92,NA,NA,NA,1,0,21
924,Alessandria,56,NA,104,-105,-100.12,NA,NA,NA,NA,NA,0.06,0.94,94
925,Vicenza,55,NA,495,-139,-22.38,NA,NA,-22.67,NA,-4.88,0.01,0.99,383
926,Alessandria,56,2,313,28,12.93,10.28,69.09,NA,NA,NA,1,0,267
927,Milano,55,1,113,-8,-7.4,-23.08,NA,NA,-15.1,NA,0.96,0.04,37
928,Vicenza,55,0,126,-11,-4.71,-9.45,NA,-5.15,-8.89,0,1,0,106
929,Torino,55,1,146,-96,-17.61,-71.33,NA,-19.2,-43.38,0,1,0,141
930,Vicenza,55,2,253,6,2.31,2.6,96.68,2.64,10.65,0.02,1,0,131
931,Milano,54,NA,131,0,2.28,2.04,7.53,6.04,5.57,1.07,0.66,0.34,45
932,Milano,54,0,87,-24,-44.65,NA,NA,NA,-33.92,NA,1,0,-604
933,Padova,53,0,102,-1,-5.36,-14.77,NA,-13.69,-9.91,4.81,0.7,0.3,8
934,Vicenza,53,1,45,1,6.39,3.08,35.41,NA,5.45,NA,1,0,30
935,Alessandria,53,2,133,-41,-23.34,NA,NA,NA,NA,-1.64,1,0,-22
936,Alessandria,52,1,36,1,1.9,25.81,99.85,25.85,1.01,0,0.99,0.01,-4
937,Vicenza,52,0,142,-13,-3.92,NA,NA,2.47,-10.79,-0.15,1,0,15
938,Udine,52,1,103,3,4.34,8.96,57.22,NA,8.58,NA,1,0,2
939,Padova,51,0,891,27,3.79,11.24,79,11.62,NA,0.22,1,0,238
940,Alessandria,52,1,365,-24,-3.05,-13.83,NA,-3.93,-21.63,0.65,1,0,173
941,Alessandria,50,0,56,2,5.72,13.03,66.52,19.58,6.49,0,1,0,9
942,Vicenza,50,1,75,1,3.74,3.44,35.81,NA,5.62,NA,1,0,30
943,Brescia,49,0,954,2,0.19,0.38,114.94,NA,3.67,NA,0.02,0.98,251
944,Vicenza,49,0,122,3,2.37,6.44,89.8,4.82,5.66,0.01,0.76,0.24,51
945,Milano,48,0,218,-114,-54.21,-52.32,NA,NA,NA,0,1,0,39
946,Vicenza,47,1,400,-8,-0.61,-16.23,NA,-1.7,-5.14,1.89,0.8,0.2,109
947,Brescia,47,0,174,2,5.58,8.86,19.64,NA,20.61,NA,0.4,0.6,-17
948,Vicenza,46,NA,85,-15,-17.37,NA,NA,NA,-29.37,0,1,0,2
949,Vicenza,46,1,34,-40,-98.62,NA,NA,NA,NA,-0.67,0.92,0.08,-73
950,Alessandria,46,2,76,-10,-12.15,NA,NA,NA,-20.06,NA,1,0,-24
951,Como,46,0,62,-14,-24.34,-59.08,NA,NA,-32.86,NA,1,0,19
952,Vicenza,45,0,134,-33,-30.59,NA,NA,NA,NA,4.19,0.49,0.51,26
953,Varese,45,NA,60,6,11.8,26.07,91.48,28.49,15.15,0,1,0,12
954,Monza e della Brianza,45,1,159,5,6.69,9.64,43.93,7.14,23.63,1.93,0.09,0.91,11
955,Genova,44,0,89,3,4.9,4.18,67.02,NA,9.77,NA,1,0,74
956,Alessandria,44,1,309,-10,-0.81,-4.01,NA,-1.03,-5.61,0,1,0,227
957,Brescia,43,1,155,-20,-12.89,NA,NA,NA,-19.73,NA,1,0,9
958,Vicenza,43,NA,4,-3,135.04,-75.14,-55.64,NA,11.46,0,NA,NA,4
959,Verona,43,0,206,0,1.51,1.32,15.52,4.18,7.31,0.86,0.55,0.45,95
960,Milano,42,0,96,-7,-0.84,-16.62,NA,-1.25,-1.27,0.62,1,0,36
961,Milano,41,0,164,0,0.77,2.77,31.89,NA,3.08,NA,1,0,10
962,Vicenza,41,0,79,6,14.65,8.26,49.96,15.41,28.1,0.07,1,0,70
963,Vicenza,41,0,52,-36,-60.51,NA,NA,NA,NA,-15.35,1,0,-26
964,Vicenza,39,0,46,-18,-36.93,-74.48,NA,NA,-43.7,0.52,1,0,24
965,Alessandria,39,1,285,-2,0.26,-1.01,-280.03,NA,1.88,NA,1,0,192
966,Alessandria,39,0,98,-3,9.06,-10,-38.17,13.98,22.65,0.11,0.59,0.41,51
967,Vicenza,38,1,34,12,36.34,86.12,98.07,NA,NA,0,1,0,12
968,Milano,37,1,168,2,1.82,6.34,58.43,NA,8.23,NA,0.55,0.45,-50
969,Vicenza,37,4,673,-39,-5.84,-12.8,NA,-12.87,-18.18,0,1,0,305
970,Alessandria,37,3,110,14,12.5,20.93,103.23,NA,NA,NA,0.53,0.47,69
