CID,Province,Revenue,Employees,Total_Asset,Profit,ROA,ROE,P.L.O,ROI,ROS,Debt.Equity.,CL.TA,L.TA,NWC
971,Venezia,37,0,151,13,12.12,9.44,70.01,NA,NA,NA,1,0,112
972,Alessandria,36,NA,126,-116,-91.79,NA,NA,NA,NA,NA,0.54,0.46,-20
973,Vicenza,35,1,122,1,4.53,7.34,14.96,8.04,15.6,4.52,0.57,0.43,-8
974,Alessandria,35,1,34,-4,-2.05,-26.61,NA,NA,-1.95,NA,0.23,0.77,26
975,Alessandria,35,0,36,-72,-191.82,NA,NA,NA,NA,0,1,0,7
976,Vicenza,35,0,379,-19,-5.69,NA,NA,14.11,-15.63,0,1,0,221
977,Udine,34,0,54,0,-0.45,-0.82,NA,NA,-0.68,NA,1,0,19
978,Alessandria,34,3,334,-12,-3.7,-5.8,NA,NA,-36.83,NA,1,0,271
979,Milano,33,0,72,-23,-28.97,NA,NA,NA,NA,NA,0.89,0.11,-1
980,Torino,33,0,735,-15,-1.1,NA,NA,NA,-19.4,NA,0.06,0.94,643
981,Alessandria,33,0,190,-80,-31.58,NA,NA,NA,NA,-1.45,1,0,-119
982,Alessandria,32,0,46,-28,-59.97,NA,NA,NA,NA,NA,1,0,-133
983,Torino,31,NA,27,-38,-159.71,NA,NA,NA,NA,0,1,0,-29
984,Vicenza,31,1,287,0,0.43,0.43,8.35,NA,3.52,NA,1,0,22
985,Treviso,31,0,49,1,1.71,4.2,96.34,NA,2.75,NA,1,0,9
986,Milano,31,0,76,-1,0.73,-5.96,-225.27,NA,1.78,NA,0.46,0.54,31
987,Vicenza,30,1,201,-13,-4.18,-21.53,NA,-10.71,-27.96,0.28,0.8,0.2,96
988,Alessandria,30,0,3164,64,0.4,2.03,NA,0.4,NA,0,1,0,47
989,Vicenza,30,0,118,4,5.92,4.08,63.32,NA,23.29,NA,0.95,0.05,105
990,Alessandria,30,0,144,-1,3.23,NA,-17.9,13.28,15.61,-1.42,0.84,0.16,-142
991,Milano,29,0,379,10,-2.79,-12.37,-98.51,-3.16,-35.97,-4.88,0.11,0.89,327
992,Alessandria,29,1,182,-44,-19.09,-92.93,NA,NA,NA,0.2,1,0,-28
993,Alessandria,29,2,435,-8,0.25,-5.56,NA,NA,3.72,NA,0.63,0.37,234
994,Torino,28,1,273,-6,-1.55,-25.41,NA,-18.23,-8.39,0,0.66,0.34,103
995,Venezia,28,0,25,-10,-118.36,NA,NA,NA,NA,0,1,0,-1
996,Milano,27,3,301,-60,-17.96,NA,NA,NA,-15.03,2.9,1,0,-25
997,Vicenza,27,0,34,-18,-49.51,NA,NA,NA,NA,-2.28,1,0,-7
998,Vicenza,27,0,207,-13,5.07,NA,-124.12,6.84,NA,-10.25,0.57,0.43,89
999,Cuneo,27,1,115,7,6.47,24.97,100.07,14.62,24.94,0,1,0,14
1000,Alessandria,26,0,1124,-47,-2.85,NA,NA,-15.2,NA,-2.22,1,0,-454
1001,Vicenza,25,NA,26,-89,-313.5,NA,NA,NA,NA,-1.01,1,0,-96
1002,Vicenza,25,0,15,0,2.21,2.52,100,NA,1.32,NA,1,0,13
1003,Vicenza,25,1,4,-77,NA,NA,NA,NA,NA,0,1,0,-7
1004,Vicenza,25,0,110,-4,4.28,-53.52,-78.37,23.24,18.35,1.94,1,0,-48
1005,Alessandria,25,5,320,-31,-9.06,NA,NA,24.35,NA,0,1,0,-127
1006,Vicenza,25,0,29,2,13.64,18.4,43.62,NA,16.1,0,1,0,2
1007,Treviso,24,2,70,-59,-84.05,NA,NA,NA,NA,0,1,0,25
1008,Milano,24,0,366,-111,-81.68,NA,NA,NA,NA,-0.01,1,0,-2489
1009,Vicenza,23,0,36,-5,-14.92,-24.28,NA,-16,-23,0,0.18,0.82,31
1010,Imperia,23,0,82,-64,-25.28,NA,NA,NA,NA,-2.26,0.89,0.11,-91
1011,Vicenza,23,NA,89,70,86.09,80.71,91.31,NA,NA,0,1,0,80
1012,Milano,23,1,19,6,39.33,42.99,74.35,NA,11.85,0,1,0,11
1013,Vicenza,23,0,23,-4,-51.62,-73.28,NA,NA,NA,0,1,0,-1
1014,Milano,22,0,21,3,15.2,23.58,96.32,15.94,14.56,0,1,0,1
1015,Alessandria,21,0,0,-71,NA,NA,NA,11.69,NA,-0.45,0.54,0.46,-227
1016,Forlì-Cesena,21,0,69,-11,-17.25,-39.47,NA,NA,NA,NA,1,0,22
1017,Vicenza,21,0,27,146,-8.69,-17.54,NA,2.77,-10.88,-0.9,1,0,-845
1018,Vicenza,21,10,13936,424,-8.61,-3.05,-35.31,NA,NA,-0.91,1,0,-17038
1019,Alessandria,21,0,889,-16,-1,-27.76,NA,NA,-4.67,NA,0.46,0.54,509
1020,Alessandria,20,1,52,-1,-3.83,-3.77,NA,-4.15,-9.77,0.52,1,0,27
1021,Vicenza,20,2,54,-1,-0.83,-11.64,NA,-1.2,-2.2,0.14,1,0,9
1022,Vicenza,20,0,5,2,122.27,-20.35,36.59,NA,18.37,NA,1,0,-12
1023,Alessandria,19,0,185,-717,-159.33,NA,NA,23.22,NA,-0.03,1,0,-1310
1024,Alessandria,19,2,18,-24,-129.93,NA,NA,NA,NA,0.56,1,0,-1
1025,Vicenza,18,0,146,-55,-36.94,NA,NA,NA,NA,-0.33,1,0,-46
1026,Milano,18,0,27,-40,-147.12,NA,NA,NA,NA,0,1,0,-29
1027,Vicenza,17,0,133,-38,-24.07,NA,NA,NA,NA,-0.62,0.62,0.38,-204
1028,Milano,17,0,30,2,10.75,79.54,73.49,NA,18.23,0,1,0,-3
1029,Milano,17,0,83,-11,-6.6,NA,NA,1.85,-11.05,-0.29,0.77,0.23,-271
1030,Alessandria,17,0,37,2,6.7,9.91,70.09,NA,14.5,NA,1,0,16
1031,Venezia,17,4,55,-79,-122.23,NA,NA,NA,NA,0,1,0,-54
1032,Piacenza,17,1,42,-6,-12.03,-14.99,NA,-13.21,-30.14,0,1,0,36
1033,Milano,16,0,282,-19,-6.5,NA,NA,NA,NA,0,0.94,0.06,-101
1034,Alessandria,16,0,21,6,39.97,37.12,69.85,NA,NA,NA,1,0,12
1035,Milano,16,1,35,-1,1.15,-2.57,-135.85,NA,2.35,NA,1,0,15
1036,Alessandria,15,0,168,1,1.46,1.5,48.25,NA,15.43,NA,1,0,66
1037,Alessandria,15,0,13,-53,-267.49,NA,NA,NA,-36.24,-0.12,1,0,-140
1038,Vicenza,14,0,319,-2,-0.46,-1.08,NA,-0.47,-9.75,0,1,0,-81
1039,Alessandria,14,0,791,-203,-21.95,NA,NA,NA,NA,NA,0.74,0.26,-470
1040,Alessandria,14,1,16,6,43.57,75.16,79.41,NA,NA,NA,1,0,7
1041,Genova,13,0,164,-4,-2.22,-3.09,NA,NA,-27.4,NA,1,0,117
1042,Milano,13,1,56,-8,-13.02,NA,NA,NA,NA,NA,0.09,0.91,49
1043,Milano,12,0,58,-2,4.85,-5.79,-54.16,6.4,22.54,0.39,1,0,37
1044,Torino,12,0,29,3,12.6,20.83,72.23,15.61,29.5,0,1,0,2
1045,Milano,11,0,5,1,31.15,69.5,80.34,NA,13.53,NA,1,0,2
1046,Udine,11,3,94,2,2.13,-0.56,100.05,-2.41,11.06,-0.77,1,0,-337
1047,Vicenza,10,0,1732,-651,-27.2,NA,NA,16.67,NA,-0.85,1,0,-19897
1048,Alessandria,10,0,304,-88,-331.89,NA,NA,NA,NA,7.97,1,0,3
1049,Alessandria,9,0,462,0,0.3,NA,-1.79,21.39,6.01,-0.98,0.64,0.36,-200
1050,Milano,9,0,214,-22,-13.86,NA,NA,NA,NA,-2.12,1,0,-27
1051,Verona,9,0,195,-13,-6.76,NA,NA,NA,NA,NA,0.01,0.99,183
1052,Alessandria,9,0,137,4,3.6,5.42,80.68,NA,NA,NA,0.62,0.38,17
1053,Savona,8,0,42,2,5.31,9.4,92.47,NA,28.7,NA,1,0,12
1054,Vicenza,8,0,35,-115,20.23,NA,NA,23.91,NA,0,1,0,-19
1055,Milano,7,0,26,-2,-3.71,-19.21,NA,-3.93,-13.35,0.42,1,0,9
1056,Venezia,7,0,17,-2,-11.58,-25.15,NA,-24.18,-28.51,0,1,0,3
1057,Varese,6,0,135,-6,-3.91,-45.99,NA,-7.49,NA,3.65,0.6,0.4,19
1058,Vicenza,6,0,101,3,3.07,-0.91,93.03,-1.22,NA,0,0.84,0.16,-354
1059,Milano,5,0,18,0,3.18,4.53,61.76,NA,9.79,NA,0.8,0.2,1
1060,Vicenza,5,0,223,-3,-1.43,-3,NA,NA,NA,NA,0.01,0.99,7
1061,Milano,5,0,40,-4,-9.53,-63.29,NA,-11.96,NA,4.27,1,0,1
1062,Vicenza,4,0,15,-184,-29.89,NA,NA,0.97,NA,-0.06,0.94,0.06,-463
1063,Alessandria,4,0,65,-5,-6.95,-81.95,NA,NA,NA,NA,0.06,0.94,36
1064,Monza e della Brianza,4,0,35,-5,-14.6,-103.23,NA,-28.01,NA,0,0.56,0.44,8
1065,Milano,4,0,28,-10,-34.11,-66.74,NA,NA,NA,NA,0.98,0.02,1
1066,Padova,3,0,29,-1,0.27,-3.39,NA,NA,2.45,NA,0.6,0.4,22
1067,Vicenza,3,0,44,0,0.52,0.6,113.72,0.53,7.53,0,1,0,43
1068,Torino,3,0,17,-13,-76.95,-115.89,NA,NA,NA,0,1,0,11
1069,Vicenza,3,0,141,-22,-15.68,-17.97,NA,-18.03,NA,0,1,0,114
1070,Vicenza,3,0,284,-3,-0.91,-12.92,NA,NA,-21.66,NA,1,0,17
1071,Vicenza,2,0,8,-15,-184.22,NA,NA,NA,NA,0,1,0,2
1072,Vicenza,2,2,63,16,-55.13,66.5,-45.76,NA,NA,0.08,1,0,24
1073,Vicenza,2,0,12,1,9.49,9.2,93.41,9.59,NA,0,1,0,10
1074,Venezia,2,0,12,-2,-13.31,-32.79,NA,NA,NA,NA,0.52,0.48,0
1075,Monza e della Brianza,2,0,14,-2,-16.2,-30.61,NA,-20.74,NA,0,1,0,5
1076,Ravenna,2,0,99,-4,-4.21,-5.21,NA,NA,NA,NA,1,0,80
1077,Genova,2,0,36,-20,-53.31,NA,NA,NA,NA,NA,0.27,0.73,12
1078,Sondrio,2,0,21,-42,-191.05,NA,NA,NA,NA,0,1,0,-5
1079,Alessandria,2,0,18,-3,-14.72,NA,NA,NA,NA,NA,1,0,-1
1080,Milano,1,0,3,-4,-119.86,-120.08,NA,NA,NA,0,1,0,3
1081,Alessandria,1,4,2115,-318,-19.99,-119.68,NA,NA,NA,NA,0.01,0.99,480
1082,Vicenza,1,1,22,-7,-28.93,-78,NA,NA,NA,0,1,0,4
1083,Como,0,0,415,279,-3.28,91.53,NA,NA,NA,NA,1,0,305
1084,Milano,0,0,170,-12,-6.96,-76.46,NA,NA,NA,NA,0.52,0.48,-58
1085,Biella,0,0,30,-3,-12.31,-48.35,NA,NA,NA,NA,0,1,23
1086,Torino,0,0,22,-5,-20.58,-23.13,NA,NA,NA,NA,1,0,20
1087,Padova,0,0,150,-9,-6.2,-26.63,NA,NA,NA,NA,1,0,15
1088,Milano,0,0,375,-23,-5.98,NA,NA,-21.24,NA,-1.11,0.29,0.71,-55
1089,Vicenza,0,0,2,-11,-489.22,NA,NA,NA,NA,0,1,0,-3
1090,Verona,0,0,18,-4,-24.14,NA,NA,NA,NA,0,1,0,-21
1091,Verona,0,0,173,-28,-16.38,NA,NA,2.33,NA,0,0.93,0.07,-1215
1092,Vicenza,0,0,11,-6,-57.67,NA,NA,NA,NA,NA,1,0,2
1093,Vicenza,0,0,41,-13,-30.57,NA,NA,NA,NA,NA,0.12,0.88,25
1094,Vicenza,0,0,2,-1,-51.06,-72.48,NA,NA,NA,NA,1,0,0
1095,Vicenza,0,0,27,-2,-6,NA,NA,-7.32,NA,0,1,0,-1
1096,Vicenza,0,0,9,-1,-7.15,-11.76,NA,-7.28,NA,0,NA,NA,0
1097,Vicenza,0,0,343,-1,-57.44,-1.13,NA,NA,NA,1.77,1,0,-71
1098,Vicenza,0,0,72,-4,-8.87,NA,NA,NA,NA,-1.05,1,0,-171
1099,Vicenza,0,0,9,-1,-5.4,-5.4,NA,-5.4,NA,0,NA,NA,9
1100,Vicenza,0,0,41,0,-18.14,4.59,-6.39,-12.66,NA,2.39,1,0,7
1101,Vicenza,0,0,31,-131,-426.82,NA,NA,NA,NA,NA,1,0,-228
1102,Vicenza,0,0,799,-1,-0.18,NA,NA,-0.19,NA,-2.93,1,0,-694
1103,Vicenza,0,0,20,-6,-29.44,-47.07,NA,NA,NA,0,1,0,11
1104,Vicenza,0,0,9551,-17,0,-0.65,NA,-0.01,NA,0.39,0.87,0.13,3610
1105,Vicenza,0,0,365,21,0.58,-18.25,NA,1.97,NA,-1.93,0.99,0.01,-185
1106,Vicenza,0,0,44,0,0,0,NA,0,NA,0,0.63,0.37,-505
1107,Vicenza,0,0,25,0,-0.02,NA,NA,0.01,NA,0,1,0,-71
1108,Vicenza,0,0,15,-6,-10.35,NA,NA,NA,NA,-1.05,0.46,0.54,-11
1109,Vicenza,0,0,114,-10,-8.53,-8.68,NA,-8.68,NA,0,1,0,112
1110,Vicenza,0,0,84,-4,-3.3,-5.85,NA,-3.59,NA,0,1,0,57
1111,Vicenza,0,0,347,-1,-0.15,NA,NA,-0.19,NA,-1.31,0.81,0.19,-638
1112,Vicenza,0,0,140,-66,-47.44,NA,NA,NA,NA,0,1,0,-82
1113,Vicenza,0,0,273,-13,-2.87,-24.45,NA,-5.35,NA,1.81,1,0,-184
1114,Vicenza,0,0,32,-9,-10.89,NA,NA,2.39,NA,-0.65,0.98,0.02,-408
1115,Vicenza,0,0,27,-4,-13.33,-13.63,NA,NA,NA,NA,1,0,27
1116,Vicenza,0,0,13,-10,-71.56,NA,NA,NA,NA,0,1,0,-20
1117,Vicenza,0,0,314,-6,-1.78,NA,NA,-1.79,NA,-2.9,0.87,0.13,-168
1118,Vicenza,0,0,175,-10,-1.83,NA,NA,-2.28,NA,-1.55,1,0,-90
1119,Vicenza,0,0,154,-12,-1.47,NA,NA,2.36,NA,-0.5,0.78,0.22,-123
1120,Vicenza,0,0,44,-11,-31.86,NA,NA,NA,NA,-0.27,0.34,0.66,-11
1121,Vicenza,0,0,201,18,11.22,-3.04,77.66,NA,NA,NA,0.01,0.99,193
1122,Vicenza,0,0,128,37,33.6,29.86,85.4,NA,NA,NA,1,0,84
1123,Vicenza,0,0,83,-24,-28.8,NA,NA,2.15,NA,0,1,0,-1119
1124,Vicenza,0,0,11,-1,-4.62,-45.83,NA,NA,NA,0,1,0,-1
1125,Vicenza,0,0,50,-90,-159.78,NA,NA,NA,NA,NA,1,0,-238
1126,Vicenza,0,0,137,-59,-11.43,NA,NA,NA,NA,-0.24,0.32,0.68,-485
1127,Vicenza,0,0,118,-2,-1.21,NA,NA,NA,NA,NA,1,0,-303
1128,Vicenza,0,0,58,0,0,0,NA,NA,NA,NA,0,1,9
1129,Vicenza,0,0,130,-1,2.03,NA,-39.94,NA,15.87,NA,1,0,-318
1130,Vicenza,0,0,417,-10,-0.64,-23.52,NA,-0.84,NA,4.68,1,0,-121
1131,Vicenza,0,0,22,-6,-8.17,-32.63,NA,-10.5,NA,0,1,0,17
1132,Vicenza,0,0,554,-170,-4.99,NA,NA,-5.41,NA,0,1,0,-397
1133,Vicenza,0,0,2934,18,0.64,-0.47,94.22,1.4,NA,-1.06,0.83,0.17,-3964
1134,Vicenza,0,0,19,-3,-13.49,-17.12,NA,-17.12,NA,0,1,0,-3
1135,Vicenza,0,0,1,-7,-250.17,NA,NA,4.62,NA,0,1,0,-115
1136,Vicenza,0,12,2135,-210,-1.81,NA,NA,-3.23,NA,-2.91,1,0,-2163
1137,Vicenza,0,0,182,-14,-10.89,-8.18,NA,NA,NA,NA,1,0,148
1138,Vicenza,0,0,27,-3,-14.71,NA,NA,-20.16,NA,0,1,0,-1066
1139,Vicenza,0,0,714,-15,-3.12,-4.03,NA,-3.23,NA,0,0.04,0.96,-7
1140,Vicenza,0,0,92,-3,-3.83,NA,NA,19.81,NA,0,1,0,6
1141,Vicenza,0,0,389,-6,-1.05,-1.91,NA,-1.23,NA,0,1,0,227
1142,Vicenza,0,0,11,-4,-10.79,NA,NA,6.69,NA,-0.02,1,0,-126
1143,Vicenza,0,0,314,-9,-2.95,NA,NA,NA,NA,NA,1,0,-234
1144,Vicenza,0,0,174,-139,-79.87,NA,NA,NA,NA,-1.02,1,0,-1019
1145,Vicenza,0,0,1395,-9,-0.66,NA,NA,NA,NA,NA,1,0,-7508
1146,Vicenza,0,0,42,-1,-1.92,NA,NA,0.38,NA,0,1,0,-149
1147,Vicenza,0,0,0,-13,NA,NA,NA,7.96,NA,-0.38,1,0,-274
1148,Vicenza,0,0,85,7,8.29,53.82,97.35,NA,11.04,NA,1,0,13
1149,Vicenza,0,0,0,-4,NA,NA,NA,NA,NA,0,1,0,-8
1150,Vicenza,0,3,62,-1,-2.03,-5.44,NA,NA,NA,NA,1,0,23
1151,Vicenza,0,0,138,-8,-5.95,NA,NA,NA,NA,NA,0.35,0.65,-171
1152,Vicenza,0,0,394,-6,-1.64,-2.13,NA,NA,NA,NA,1,0,303
1153,Vicenza,0,0,444,-12,-2.32,-3.62,NA,-3.12,NA,0,1,0,416
1154,Vicenza,0,0,46,961,-37.28,NA,NA,NA,NA,0,1,0,-25
1155,Vicenza,0,0,4211,-13,-0.31,NA,NA,-0.73,NA,-3.64,0.89,0.11,-1081
1156,Vicenza,0,0,212,-3,-1.58,-1.36,NA,-1.6,NA,0,1,0,194
1157,Vicenza,0,0,51,-4,-6.31,NA,NA,-6.55,NA,-0.09,0.06,0.94,23
1158,Vicenza,0,0,1477,-29,-1.94,NA,NA,-2.4,NA,-2.89,1,0,-682
1159,Vicenza,0,0,364,-123,-33.5,NA,NA,NA,NA,NA,1,0,-292
1160,Vicenza,0,0,10,0,-2.78,-3.17,NA,NA,NA,NA,1,0,9
1161,Vicenza,0,0,120,-1,-0.7,NA,NA,0.19,NA,-0.04,1,0,-554
1162,Vicenza,0,0,18,0,-1.14,NA,NA,NA,NA,NA,0,1,18
1163,Vicenza,0,0,27,-44,-970.56,NA,NA,NA,NA,0,1,0,-26
1164,Vicenza,0,0,593,-4,-0.66,NA,NA,NA,NA,NA,0.87,0.13,-553
1165,Venezia,0,0,93,-18,-49.37,NA,NA,NA,NA,0,0.05,0.95,62
1166,Venezia,0,0,6,-5,-29.87,-102.5,NA,NA,NA,0,1,0,5
1167,Varese,0,0,147,-1,-0.48,NA,NA,7.72,NA,-0.93,1,0,-128
1168,Treviso,0,0,13,-5,-40.76,-40.76,NA,NA,NA,0,NA,NA,4
1169,Treviso,0,0,31,-168,-535.89,NA,NA,NA,NA,0,1,0,30
1170,Torino,0,0,33,0,0,0,NA,0,NA,0,1,0,-5
1171,Torino,0,0,507,-4,-0.54,NA,NA,-0.78,NA,-34.01,0.35,0.65,114
1172,Torino,0,0,149,-15,-22.49,-26.55,NA,NA,NA,0,1,0,36
1173,Torino,0,0,267,-223,-50.32,NA,NA,NA,NA,0,0.95,0.05,-431
1174,Rimini,0,0,21,-1,-10.72,-7.9,NA,-10.96,-33.92,0,1,0,15
1175,Rimini,0,0,8,0,0,0,NA,0,NA,0,NA,NA,7
1176,Reggio nell'Emilia,0,0,6161,-68,-0.18,NA,NA,-0.23,NA,-80.35,0.72,0.28,-4364
1177,Padova,0,0,19,-1,-5.24,NA,NA,5.5,NA,0,1,0,-27
1178,Padova,0,0,0,0,-60,NA,NA,NA,NA,0,1,0,-25
1179,Padova,0,0,1421,-4,-0.33,NA,NA,1.25,NA,-0.62,1,0,-2580
1180,Padova,0,0,1,-3,-90.08,NA,NA,0.46,NA,0,1,0,-148
1181,Padova,0,0,329,-9,-2.76,-21.77,NA,NA,NA,NA,1,0,-246
1182,Padova,0,NA,233,-5,-9.69,-2.04,NA,-10.02,NA,0,1,0,140
1183,Piacenza,0,0,24,-2,-6.33,-26.07,NA,NA,NA,NA,0.14,0.86,21
1184,Novara,0,0,29,-1,-3.01,NA,NA,1.55,NA,0,1,0,-66
1185,Modena,0,0,12,-1,-4.3,-5.53,NA,-4.3,NA,0,1,0,0
1186,Milano,0,0,1,-1,-71.88,-118.91,NA,NA,NA,NA,1,0,1
1187,Milano,0,0,57,-30,-52.89,NA,NA,NA,NA,0,1,0,-3
1188,Milano,0,0,6,-3,-38.55,-60.78,NA,NA,NA,0,0.83,0.17,4
1189,Milano,0,0,48,-200,-311.75,NA,NA,NA,NA,0,0.07,0.93,29
1190,Milano,0,0,18,-3,-14.07,NA,NA,NA,NA,NA,1,0,1
1191,Milano,0,0,42,-11,-21.72,NA,NA,-21.84,NA,0,0.01,0.99,34
1192,Milano,0,4,134,-110,-81.95,NA,NA,NA,NA,NA,1,0,-847
1193,Milano,0,0,28,-8,-19.46,NA,NA,-20.4,NA,0,0.04,0.96,16
1194,Milano,0,0,6,1,18.51,18.51,100,18.51,NA,0,NA,NA,6
1195,Milano,0,0,440,-1,-0.05,-0.37,NA,-0.11,NA,0,1,0,97
1196,Milano,0,0,145,0,0,0,NA,0,NA,0,1,0,66
1197,Milano,0,0,81,0,-0.16,NA,NA,-0.73,NA,-2.12,0.67,0.33,-24
1198,Milano,0,0,396,9,2.16,-1.08,100,NA,NA,NA,1,0,-1026
1199,Milano,0,0,1255,-14,-2.87,-5.52,NA,-14.63,NA,0,1,0,247
1200,Milano,0,0,3,-1,0,NA,NA,0,NA,0,1,0,-12
1201,Milano,0,0,31,0,0,0,NA,NA,NA,NA,1,0,-109
1202,Milano,0,0,19,-16,-29.43,NA,NA,NA,NA,-2.94,1,0,-11
1203,Milano,0,0,12,-2,-19.11,NA,NA,NA,NA,-0.17,1,0,-981
1204,Milano,0,0,950,3,4.59,2.98,7.93,16.76,NA,1.24,1,0,118
1205,Milano,0,0,6,-135,-9.83,NA,NA,0.48,NA,0,0,1,6
1206,Milano,0,0,20,127,-32.62,NA,NA,16.31,NA,0,1,0,-41
1207,Milano,0,0,157,-2,-0.5,NA,NA,0.1,NA,-0.04,1,0,-1421
1208,Milano,0,0,1,-58,NA,NA,NA,NA,NA,NA,1,0,-35
1209,Milano,0,0,66,-10,-6.96,-27.21,NA,-12.19,NA,0,1,0,38
1210,Milano,0,0,222,30,-3.88,74.15,-343.62,-4.03,NA,0,0.04,0.96,175
1211,Milano,0,0,885,-797,-91.87,NA,NA,NA,NA,-0.6,1,0,-1214
1212,Milano,0,0,334,-79,-23.59,NA,NA,8.46,NA,-0.55,1,0,-2713
1213,Imperia,0,0,181,-9,-4.83,-52.76,NA,NA,NA,NA,1,0,-39
1214,Genova,0,0,218,-3,-1.43,NA,NA,NA,NA,NA,1,0,-19
1215,Forlì-Cesena,0,0,3,-6,-76.65,NA,NA,NA,NA,0,NA,NA,3
1216,Ferrara,0,0,12,-1,-6.09,-7.93,NA,-6.3,NA,0,1,0,7
1217,Ferrara,0,0,23,0,-48.3,-0.16,-3.55,14.61,NA,-0.7,0.36,0.64,-80
1218,Bolzano/Bozen,0,0,545,-3,-0.62,NA,NA,-0.9,NA,0,1,0,-295
1219,Brescia,0,0,72,-3,-2.96,-5.35,NA,NA,NA,NA,1,0,42
1220,Brescia,0,0,66,-270,-0.64,NA,NA,-0.67,NA,-0.24,0.2,0.8,-62
1221,Bologna,0,0,292,21,-10.54,-3.85,-69.43,9.81,NA,-0.25,0.86,0.14,-323
1222,Bergamo,0,0,27,-1,-2.77,-5.06,NA,-5.06,NA,0,1,0,8
1223,Bergamo,0,0,0,-41,NA,NA,NA,NA,NA,NA,1,0,-30
1224,Valle d'Aosta/Vallée d'Aoste,0,0,3411,-103,-3.53,-20.92,NA,-24.5,NA,0,1,0,3298
1225,Alessandria,0,0,12,-1,-9.99,-14.73,NA,-14.73,NA,0,1,0,-1
1226,Alessandria,0,0,9,-12,-137.77,NA,NA,NA,NA,NA,1,0,-53
1227,Alessandria,0,0,32,-4,-10.9,-58.6,NA,-11.01,NA,0,0.01,0.99,28
1228,Alessandria,0,0,4,0,0,0,NA,0,NA,0,1,0,9
1229,Alessandria,0,0,36,8,21.95,-5.09,99.99,NA,27.81,NA,1,0,-151
1230,Alessandria,0,0,760,0,0,0,NA,NA,NA,NA,0.88,0.12,256
1231,Alessandria,0,NA,2,-19,-42.63,NA,NA,NA,NA,0,1,0,-4
1232,Alessandria,0,0,123,-1,-0.35,NA,NA,0.17,NA,0,1,0,-323
1233,Alessandria,0,0,39,-122,-304.57,NA,NA,NA,NA,-1.59,1,0,-66
1234,Alessandria,0,0,362,0,-0.09,-1.39,NA,-1.31,NA,0,1,0,-114
1235,Alessandria,0,0,21,4,0,-2.62,NA,NA,NA,NA,1,0,-157
1236,Alessandria,0,0,79,-1,-0.23,-7.1,NA,-0.96,NA,0,1,0,19
1237,Alessandria,0,0,23,-1,-3.12,NA,NA,3.52,NA,0,1,0,-20
1238,Alessandria,0,0,337,-3,-1.39,NA,NA,5.83,NA,-0.71,0.55,0.45,100
1239,Alessandria,0,0,288,-1,-0.19,NA,NA,4.85,NA,-0.81,1,0,-211
1240,Alessandria,0,0,13,264,NA,NA,99.96,NA,NA,NA,1,0,4
1241,Alessandria,0,0,3475,-18,-0.57,NA,NA,0.12,NA,-0.28,0.7,0.3,-12092
1242,Alessandria,0,0,699,-1,-0.2,-8.7,NA,-0.32,NA,24.1,0.65,0.35,242
1243,Alessandria,0,0,36,-5,-6.58,NA,NA,7.12,NA,0,1,0,-32
1244,Alessandria,0,0,16,0,-1.04,NA,NA,0.01,NA,0,1,0,-1869
1245,Alessandria,0,0,119,0,-0.21,-0.21,NA,-0.21,NA,0,1,0,115
1246,Alessandria,0,0,1,-377,NA,NA,NA,NA,NA,-1,1,0,-681
1247,Alessandria,0,0,38,-1,-1.44,-1.63,NA,NA,NA,NA,1,0,33
1248,Alessandria,0,0,216,-10,-4.96,NA,NA,0.6,NA,0,1,0,-1586
